L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1580000000	1.302827085156e-01	1.808457327235e-02	1.608577241659e-03	3.399906276161e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158_5EAD49E6.dat
24	0.1608571429	7.534110367341e-01	1.347356452962e-02	1.012803498579e-02	2.817604952780e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EA82114.dat
24	0.1605714286	7.534110367341e-01	1.347356452962e-02	1.012803498579e-02	2.817604952780e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EA82114.dat
24	0.1602857143	5.382141625323e-01	2.135528074832e-02	9.074784779406e-03	1.999173526476e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160_5EA98E2F.dat
24	0.1597142857	5.382141625323e-01	2.135528074832e-02	9.074784779406e-03	1.999173526476e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160_5EA98E2F.dat
24	0.1600000000	5.382141625323e-01	2.135528074832e-02	9.074784779406e-03	1.999173526476e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt24_k0.160_0.160_0.160_kt0.160_5EA98E2F.dat
24	0.1591428571	2.815552896183e-01	2.815122329138e-02	5.561475216880e-03	1.133179206157e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159_5EAFF9F3.dat
24	0.1594285714	3.602908357376e-01	3.225259423076e-02	6.738514065966e-03	1.412566086498e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159_5EAF7F6A.dat
24	0.1588571429	2.842248744853e-01	3.043786503148e-02	5.135543071899e-03	1.073659951312e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159/Lx24_Ly24_Tx0_Ty0_Nt24_k0.159_0.159_0.159_kt0.159_5EAC725C.dat
16	0.1620000000	8.259889681575e-01	9.781255622154e-03	1.367917440319e-02	4.431415209398e-03	out_binder_refine_0158_0162_n15_t5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162_5EAB4EE1.dat
