Nx,Ny,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,left_over_diag,triangle_slack
32,33,32,32,33,1056,1.0,0.9696969696969697,0.030303030303030304,32.0,0.0
32,34,0,32,34,544,1.0,0.9411764705882353,0.058823529411764705,16.0,0.0
32,34,1,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,2,32,544,272,1.0,0.058823529411764705,0.11764705882352941,0.5,-0.8235294117647058
32,34,3,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,4,32,272,544,1.0,0.11764705882352941,0.058823529411764705,2.0,-0.8235294117647058
32,34,5,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,6,32,544,136,1.0,0.058823529411764705,0.23529411764705882,0.25,-0.7058823529411764
32,34,7,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,8,32,136,544,1.0,0.23529411764705882,0.058823529411764705,4.0,-0.7058823529411764
32,34,9,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,10,32,544,272,1.0,0.058823529411764705,0.11764705882352941,0.5,-0.8235294117647058
32,34,11,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,12,32,272,544,1.0,0.11764705882352941,0.058823529411764705,2.0,-0.8235294117647058
32,34,13,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,14,32,544,68,1.0,0.058823529411764705,0.47058823529411764,0.125,-0.47058823529411764
32,34,15,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,16,32,68,544,1.0,0.47058823529411764,0.058823529411764705,8.0,-0.47058823529411764
32,34,17,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,18,32,544,272,1.0,0.058823529411764705,0.11764705882352941,0.5,-0.8235294117647058
32,34,19,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,20,32,272,544,1.0,0.11764705882352941,0.058823529411764705,2.0,-0.8235294117647058
32,34,21,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,22,32,544,136,1.0,0.058823529411764705,0.23529411764705882,0.25,-0.7058823529411764
32,34,23,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,24,32,136,544,1.0,0.23529411764705882,0.058823529411764705,4.0,-0.7058823529411764
32,34,25,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,26,32,544,272,1.0,0.058823529411764705,0.11764705882352941,0.5,-0.8235294117647058
32,34,27,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,28,32,272,544,1.0,0.11764705882352941,0.058823529411764705,2.0,-0.8235294117647058
32,34,29,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,30,32,544,34,1.0,0.058823529411764705,0.9411764705882353,0.0625,0.0
32,34,31,32,1088,1088,1.0,0.029411764705882353,0.029411764705882353,1.0,-0.9411764705882353
32,34,32,32,34,544,1.0,0.9411764705882353,0.058823529411764705,16.0,0.0
32,35,0,32,35,1120,1.0,0.9142857142857143,0.02857142857142857,32.0,-0.05714285714285716
32,35,1,32,1120,280,1.0,0.02857142857142857,0.11428571428571428,0.25,-0.8571428571428572
32,35,2,32,560,1120,1.0,0.05714285714285714,0.02857142857142857,2.0,-0.9142857142857143
