L,shift,p_x,p_y,p_y_minus_x,|x|,|y|,|y-x|,cos(theta_xy),theta_xy_deg
8,0,8,8,8,1.00000000,1.00000000,1.41421356,-0.00000000,90.00000000
8,2,8,32,32,1.00000000,0.25000000,0.35355339,1.00000000,0.00000000
8,4,8,16,16,1.00000000,0.50000000,0.70710678,0.75000000,41.40962211
16,0,16,16,16,1.00000000,1.00000000,1.41421356,-0.00000000,90.00000000
16,8,16,32,32,1.00000000,0.50000000,0.70710678,0.75000000,41.40962211
64,0,64,64,64,1.00000000,1.00000000,1.41421356,-0.00000000,90.00000000
64,32,64,128,128,1.00000000,0.50000000,0.70710678,0.75000000,41.40962211
