r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
1.0400000000	1.0000000000	0.5000000000	0.8786587014	0.2710521362	1.0534457577	1.0347011382	1.0534457577	0.8582928791	0.8571258104	0.8432813733	1.0013616072	0.9838478355	0.0016037702	0.0002430891	0.0005470389	0.0013606811	0.0003039498	0.0000025721	0.0000000591	0.0000002993	0.0000018515	0.0000000924	0.0000029304	0.0000019438	0.0000048743	0.0120732970	0.0054718393	0.0030483334	0.0141080268	0.0020570279	0.0205934696	0.0161650547	0.0367585243
1.0400000000	1.0133333333	0.4963691596	0.8764813993	0.2698655439	1.0492587397	1.0368243346	1.0555095792	0.8577623214	0.8569846593	0.8428539695	1.0009074399	0.9835111520	0.0009854244	0.0000783960	0.0000400763	0.0009070284	-0.0000383197	0.0000009711	0.0000000061	0.0000000016	0.0000008227	0.0000000015	0.0000009788	0.0000008242	0.0000018030	0.0045581464	0.0005691021	0.0000163607	0.0062689584	0.0000326950	0.0051436091	0.0063016534	0.0114452625
1.0400000000	1.0266666667	0.4927833853	0.8743111714	0.2686921076	1.0451131446	1.0389266152	1.0575528937	0.8572335898	0.8568449519	0.8424280299	1.0004535685	0.9831744099	0.0003688263	-0.0000846393	-0.0004654054	0.0004534657	-0.0003807661	0.0000001360	0.0000000072	0.0000002166	0.0000002056	0.0000001450	0.0000003598	0.0000003506	0.0000007104	0.0006385361	0.0006633565	0.0022064237	0.0015669042	0.0032281443	0.0035083163	0.0047950485	0.0083033648
1.0400000000	1.0400000000	0.4892418907	0.8721481367	0.2675315901	1.0410083119	1.0410083119	1.0595760297	0.8567066469	0.8567066469	0.8420035016	1.0000000000	0.9828375963	-0.0002460642	-0.0002460642	-0.0009694666	0.0000000000	-0.0007234024	0.0000000605	0.0000000605	0.0000009399	0.0000000000	0.0000005233	0.0000010610	0.0000005233	0.0000015843	0.0002842095	0.0056065973	0.0095739637	0.0000000000	0.0116518889	0.0154647705	0.0116518889	0.0271166593
1.0400000000	1.0533333333	0.4857439069	0.8699924069	0.2663837603	1.0369435956	1.0430697495	1.0615793085	0.8561814564	0.8565697047	0.8415803335	0.9995467405	0.9825006989	-0.0008592865	-0.0004059243	-0.0014721658	-0.0004533622	-0.0010662415	0.0000007384	0.0000001648	0.0000021673	0.0000002055	0.0000011369	0.0000030704	0.0000013424	0.0000044128	0.0034659126	0.0152578174	0.0220769708	0.0015661894	0.0253132334	0.0408007009	0.0268794228	0.0676801236
1.0400000000	1.0666666667	0.4822886820	0.8678440863	0.2652483924	1.0329183635	1.0451112457	1.0635630444	0.8556579824	0.8564340870	0.8411584762	0.9990937954	0.9821637054	-0.0014708789	-0.0005642634	-0.0019735595	-0.0009066155	-0.0014092960	0.0000021635	0.0000003184	0.0000038949	0.0000008220	0.0000019861	0.0000063768	0.0000028081	0.0000091849	0.0101553627	0.0294826262	0.0396758708	0.0062632512	0.0442222568	0.0793138597	0.0504855080	0.1297993677
1.0400000000	1.0800000000	0.4788754805	0.8657032725	0.2641252666	1.0289319974	1.0471331113	1.0655275449	0.8551361902	0.8562997567	0.8407378820	0.9986411692	0.9818266038	-0.0020808789	-0.0007211241	-0.0024737024	-0.0013597548	-0.0017525783	0.0000043301	0.0000005200	0.0000061192	0.0000018489	0.0000030715	0.0000109693	0.0000049205	0.0000158897	0.0203252181	0.0481528900	0.0623334162	0.0140888253	0.0683897949	0.1308115243	0.0824786203	0.2132901446
1.0400000000	1.0933333333	0.4755035834	0.8635700563	0.2630141682	1.0249838924	1.0491356505	1.0674731107	0.8546160457	0.8561666783	0.8403185045	0.9981888660	0.9814893826	-0.0026893232	-0.0008765471	-0.0029726476	-0.0018127761	-0.0020961004	0.0000072325	0.0000007683	0.0000088366	0.0000032862	0.0000043936	0.0000168374	0.0000076798	0.0000245172	0.0339490486	0.0711463948	0.0900145835	0.0250404372	0.0978274235	0.1951100270	0.1228678607	0.3179778877
1.0400000000	1.1066666667	0.4721722869	0.8614445226	0.2619148877	1.0210734563	1.0511191610	1.0694000363	0.8540975156	0.8560348175	0.8399002991	0.9977368889	0.9811520302	-0.0032962478	-0.0010305720	-0.0034704463	-0.0022656758	-0.0024398743	0.0000108652	0.0000010621	0.0000120440	0.0000051333	0.0000059530	0.0000239713	0.0000110863	0.0000350576	0.0510013078	0.0983465274	0.1226864756	0.0391155205	0.1325474411	0.2720343108	0.1716629617	0.4436972724
1.0400000000	1.1200000000	0.4688809028	0.8593267498	0.2608272208	1.0172001096	1.0530839342	1.0713086097	0.8535805673	0.8559041412	0.8394832225	0.9972852406	0.9808145354	-0.0039016878	-0.0011832367	-0.0039671483	-0.0027184511	-0.0027839116	0.0000152232	0.0000014000	0.0000157383	0.0000073900	0.0000077502	0.0000323615	0.0000151401	0.0000475016	0.0714573055	0.1296419756	0.1603182281	0.0563114380	0.1725628532	0.3614175092	0.2288742912	0.5902918004
1.0400000000	1.1333333333	0.4656287578	0.8572168109	0.2597509680	1.0133632853	1.0550302555	1.0731991128	0.8530651690	0.8557746173	0.8390672330	0.9968339231	0.9804768872	-0.0045056776	-0.0013345780	-0.0044628017	-0.0031710995	-0.0031282237	0.0000203011	0.0000017811	0.0000199166	0.0000100559	0.0000097858	0.0000419988	0.0000198417	0.0000618405	0.0952931817	0.1649264464	0.2028809210	0.0766255013	0.2178873557	0.4631005491	0.2945128569	0.7576134060
1.0400000000	1.1466666667	0.4624151929	0.8551147736	0.2586859345	1.0095624279	1.0569584041	1.0750718215	0.8525512897	0.8556462152	0.8386522898	0.9963829379	0.9801390750	-0.0051082508	-0.0014846313	-0.0049574530	-0.0036236195	-0.0034728217	0.0000260942	0.0000022041	0.0000245763	0.0000131306	0.0000120605	0.0000528747	0.0000251911	0.0000780658	0.1224858812	0.2040983993	0.2503474946	0.1000549892	0.2685353191	0.5769317751	0.3685903083	0.9455220834
1.0400000000	1.1600000000	0.4592395634	0.8530206999	0.2576319302	1.0057969939	1.0588686535	1.0769270061	0.8520388987	0.8555189049	0.8382383540	0.9959322860	0.9798010882	-0.0057094404	-0.0016334308	-0.0054511475	-0.0040760096	-0.0038177167	0.0000325977	0.0000026681	0.0000297150	0.0000166139	0.0000145750	0.0000649808	0.0000311888	0.0000961696	0.1530131293	0.2470607957	0.3026926688	0.1265971649	0.3245217732	0.7027665939	0.4511189382	1.1538855320
1.0400000000	1.1733333333	0.4561012383	0.8509346471	0.2565887693	1.0020664509	1.0607612716	1.0787649311	0.8515279665	0.8553926579	0.8378253876	0.9954819679	0.9794629166	-0.0063092786	-0.0017810094	-0.0059439288	-0.0045282692	-0.0041629195	0.0000398070	0.0000031720	0.0000353303	0.0000205052	0.0000173299	0.0000783093	0.0000378351	0.0001161444	0.1868534081	0.2937208625	0.3598928670	0.1562492916	0.3858623919	0.8404671376	0.5421116835	1.3825788210
1.0400000000	1.1866666667	0.4529995998	0.8488566679	0.2555562704	0.9983702775	1.0626365206	1.0805858555	0.8510184638	0.8552674465	0.8374133537	0.9950319836	0.9791245501	-0.0069077970	-0.0019273990	-0.0064358394	-0.0049803980	-0.0045084404	0.0000477177	0.0000037149	0.0000414200	0.0000248044	0.0000203260	0.0000928526	0.0000451304	0.0001379830	0.2239859338	0.3439898687	0.4219261428	0.1890086470	0.4525734779	0.9899019453	0.6415821249	1.6314840702
1.0400000000	1.2000000000	0.4499340436	0.8467868101	0.2545342565	0.9947079630	1.0644946576	1.0823900330	0.8505103623	0.8551432438	0.8370022170	0.9945823328	0.9787859789	-0.0075050265	-0.0020726305	-0.0069269203	-0.0054323960	-0.0048542899	0.0000563254	0.0000042958	0.0000479822	0.0000295109	0.0000235641	0.0001086034	0.0000530751	0.0001616785	0.2643906346	0.3977829155	0.4887721113	0.2248725376	0.5246719483	1.1509456614	0.7495444859	1.9004901473
1.0400000000	1.2133333333	0.4469039778	0.8447251173	0.2535225543	0.9910790073	1.0663359342	1.0841777120	0.8500036340	0.8550200241	0.8365919430	0.9941330145	0.9784471935	-0.0081009972	-0.0022167333	-0.0074172113	-0.0058842639	-0.0052004779	0.0000656262	0.0000049139	0.0000550150	0.0000346246	0.0000270450	0.0001255551	0.0000616695	0.0001872246	0.3080481297	0.4550187374	0.5604118822	0.2638383106	0.6021753205	1.3234787493	0.8660136310	2.1894923803
1.0400000000	1.2266666667	0.4439088231	0.8426716292	0.2525209947	0.9874829204	1.0681605971	1.0859491361	0.8494982517	0.8548977623	0.8361824983	0.9936840276	0.9781081845	-0.0086957389	-0.0023597364	-0.0079067509	-0.0063360025	-0.0055470145	0.0000756159	0.0000055684	0.0000625167	0.0000401449	0.0000307694	0.0001437009	0.0000709143	0.0002146152	0.3549397086	0.5156195147	0.6368279974	0.3059033660	0.6851016974	1.5073872207	0.9910050634	2.4983922841
