r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	1.0000000000	1.0000000000	0.9066330881	1.0000000000	0.9066330881	0.0000000000	0.0000000000	-0.0056046039	0.0000000000	-0.0056046039	0.0000000000	0.0000000000	0.0000314116	0.0000000000	0.0000314116	0.0000314116	0.0000314116	0.0000628232
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.9992081556	1.0000000000	0.9063880866	0.9992081556	0.9063880866	-0.0007921581	0.0000000000	-0.0058748726	-0.0007921581	-0.0058748726	0.0000006275	0.0000000000	0.0000345141	0.0000006275	0.0000345141	0.0000351416	0.0000351416	0.0000702833
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.9984194968	1.0000000000	0.9061421099	0.9984194968	0.9061421099	-0.0015817535	0.0000000000	-0.0061462907	-0.0015817535	-0.0061462907	0.0000025019	0.0000000000	0.0000377769	0.0000025019	0.0000377769	0.0000402788	0.0000402788	0.0000805577
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.9976340379	1.0000000000	0.9058951762	0.9976340379	0.9058951762	-0.0023687654	0.0000000000	-0.0064188388	-0.0023687654	-0.0064188388	0.0000056110	0.0000000000	0.0000412015	0.0000056110	0.0000412015	0.0000468125	0.0000468125	0.0000936251
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.9968517904	1.0000000000	0.9056473039	0.9968517904	0.9056473039	-0.0031531756	0.0000000000	-0.0066924976	-0.0031531756	-0.0066924976	0.0000099425	0.0000000000	0.0000447895	0.0000099425	0.0000447895	0.0000547320	0.0000547320	0.0001094641
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.9960727630	1.0000000000	0.9053985112	0.9960727630	0.9053985112	-0.0039349688	0.0000000000	-0.0069672480	-0.0039349688	-0.0069672480	0.0000154840	0.0000000000	0.0000485425	0.0000154840	0.0000485425	0.0000640265	0.0000640265	0.0001280530
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.9952969621	1.0000000000	0.9051488161	0.9952969621	0.9051488161	-0.0047141320	0.0000000000	-0.0072430708	-0.0047141320	-0.0072430708	0.0000222230	0.0000000000	0.0000524621	0.0000222230	0.0000524621	0.0000746851	0.0000746851	0.0001493702
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.9945243917	1.0000000000	0.9048982366	0.9945243917	0.9048982366	-0.0054906544	0.0000000000	-0.0075199470	-0.0054906544	-0.0075199470	0.0000301473	0.0000000000	0.0000565496	0.0000301473	0.0000565496	0.0000866969	0.0000866969	0.0001733938
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.9937550537	1.0000000000	0.9046467904	0.9937550537	0.9046467904	-0.0062645275	0.0000000000	-0.0077978579	-0.0062645275	-0.0077978579	0.0000392443	0.0000000000	0.0000608066	0.0000392443	0.0000608066	0.0001000509	0.0001000509	0.0002001018
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.9929889481	1.0000000000	0.9043944952	0.9929889481	0.9043944952	-0.0070357448	0.0000000000	-0.0080767850	-0.0070357448	-0.0080767850	0.0000495017	0.0000000000	0.0000652345	0.0000495017	0.0000652345	0.0001147362	0.0001147362	0.0002294723
0.6000000000	0.7333333333	0.5861581846	0.7590898788	0.3554005743	1.0716600081	1.1566856030	0.9132470425	0.9922260729	1.0000000000	0.9041413682	0.9922260729	0.9041413682	-0.0078043016	0.0000000000	-0.0083567097	-0.0078043016	-0.0083567097	0.0000609071	0.0000000000	0.0000698346	0.0000609071	0.0000698346	0.0001307417	0.0001307417	0.0002614834
0.6000000000	0.7466666667	0.5812828977	0.7579300589	0.3533199756	1.0660754375	1.1589724316	0.9165447845	0.9914664245	1.0000000000	0.9038874266	0.9914664245	0.9038874266	-0.0085701950	0.0000000000	-0.0086376141	-0.0085701950	-0.0086376141	0.0000734482	0.0000000000	0.0000746084	0.0000734482	0.0000746084	0.0001480566	0.0001480566	0.0002961132
0.6000000000	0.7600000000	0.5764738625	0.7567505434	0.3512703999	1.0605637251	1.1612273979	0.9198015307	0.9907099976	1.0000000000	0.9036326872	0.9907099976	0.9036326872	-0.0093334236	0.0000000000	-0.0089194803	-0.0093334236	-0.0089194803	0.0000871128	0.0000000000	0.0000795571	0.0000871128	0.0000795571	0.0001666699	0.0001666699	0.0003333398
0.6000000000	0.7733333333	0.5717298964	0.7555523509	0.3492510932	1.0551233295	1.1634512228	0.9230181012	0.9899567857	1.0000000000	0.9033771667	0.9899567857	0.9033771667	-0.0100939876	0.0000000000	-0.0092022906	-0.0100939876	-0.0092022906	0.0001018886	0.0000000000	0.0000846822	0.0001018886	0.0000846822	0.0001865707	0.0001865707	0.0003731415
0.6000000000	0.7866666667	0.5670498404	0.7543364576	0.3472613267	1.0497527546	1.1656446051	0.9261952939	0.9892067807	1.0000000000	0.9031208814	0.9892067807	0.9031208814	-0.0108518887	0.0000000000	-0.0094860278	-0.0108518887	-0.0094860278	0.0001177635	0.0000000000	0.0000899847	0.0001177635	0.0000899847	0.0002077482	0.0002077482	0.0004154964
