L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1140371523	2.768327314058e-01	4.618534230640e-02	4.873870164156e-05	2.228060170884e-05	out_binder_3d_ntraj1000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114_5EAFD8AB.dat
32	0.0650000000	-7.897743513941e-01	-2.077713770642e-01	2.674177885056e-05	1.221496621360e-05	out_binder_3d_ntraj1000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065_5EADC24F.dat
24	0.1312440475	2.463225489763e-01	4.312194322518e-02	2.148183898507e-04	1.077504566109e-04	out_binder_3d_ntraj1000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131_5EAF7F6A.dat
16	0.1738385612	9.942700331596e-01	1.482872522318e-02	1.287481188774e-03	6.626780596362e-03	out_binder_3d_ntraj1000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.174_0.174_0.174_kt0.174/Lx16_Ly16_Tx0_Ty0_Nt16_k0.174_0.174_0.174_kt0.174_5EAE29C0.dat
24	0.0650000000	5.440478476286e-03	1.022881248714e-03	6.604553138932e-05	2.947388115548e-05	out_binder_3d_ntraj1000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.065_0.065_0.065_kt0.065/Lx24_Ly24_Tx0_Ty0_Nt24_k0.065_0.065_0.065_kt0.065_5EADE397.dat
8	0.2650000000	9.996271961482e-01	3.858342401535e-03	1.725097656250e-04	3.570770769300e-03	out_binder_3d_ntraj1000/Lx8_Ly8_Tx0_Ty0_Nt8_k0.265_0.265_0.265_kt0.265/Lx8_Ly8_Tx0_Ty0_Nt8_k0.265_0.265_0.265_kt0.265_5EA959AD.dat
24	0.2650000000	9.999848948219e-01	7.774729753092e-04	6.995399171261e-06	7.202065753414e-04	out_binder_3d_ntraj1000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.265_0.265_0.265_kt0.265/Lx24_Ly24_Tx0_Ty0_Nt24_k0.265_0.265_0.265_kt0.265_5EA89B7D.dat
32	0.2302568835	9.999796108202e-01	9.024755761194e-04	8.719941973823e-06	7.716920464522e-04	out_binder_3d_ntraj1000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.230_0.230_0.230_kt0.230/Lx32_Ly32_Tx0_Ty0_Nt32_k0.230_0.230_0.230_kt0.230_5EA974BE.dat
