L	K	U4	U4_err	m_susc	m_susc_err	dat
8	0.1657536000	9.065927680859e-01	1.691733641799e-02	2.480447998047e-02	2.051758010317e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166_5EAC308C.dat
8	0.1608514000	7.301958979741e-01	2.717067273650e-02	3.493242797852e-02	1.808414590236e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.161_0.161_0.161_kt0.161/Lx8_Ly8_Tx0_Ty0_Nt8_k0.161_0.161_0.161_kt0.161_5EACAD15.dat
8	0.1706558000	9.657271744896e-01	7.128389381812e-03	1.247970428467e-02	1.795754081929e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.171_0.171_0.171_kt0.171/Lx8_Ly8_Tx0_Ty0_Nt8_k0.171_0.171_0.171_kt0.171_5EAFB623.dat
8	0.1559492000	6.229180352053e-01	3.003066556284e-02	2.919150390625e-02	1.377901042126e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.156_0.156_0.156_kt0.156/Lx8_Ly8_Tx0_Ty0_Nt8_k0.156_0.156_0.156_kt0.156_5EAD277E.dat
16	0.1853624000	9.995705341320e-01	9.893079694679e-06	4.531388044356e-04	4.626876896673e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.185_0.185_0.185_kt0.185/Lx16_Ly16_Tx0_Ty0_Nt16_k0.185_0.185_0.185_kt0.185_5EAE29C0.dat
8	0.1755580000	9.897936329217e-01	2.076264573673e-03	5.852507019043e-03	1.459647973943e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.176_0.176_0.176_kt0.176/Lx8_Ly8_Tx0_Ty0_Nt8_k0.176_0.176_0.176_kt0.176_5EAF3DDA.dat
8	0.1510470000	4.215526078047e-01	2.484090519254e-02	1.246742401123e-02	6.306750025299e-03	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.151_0.151_0.151_kt0.151/Lx8_Ly8_Tx0_Ty0_Nt8_k0.151_0.151_0.151_kt0.151_5EADA1C7.dat
32	0.2000690000	9.999768276983e-01	1.607550597770e-07	2.218547277155e-05	1.129320839436e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200_5EA8FA55.dat
8	0.1804602000	9.946718084211e-01	3.141224783118e-04	2.656449890137e-03	1.041026639545e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.180_0.180_0.180_kt0.180/Lx8_Ly8_Tx0_Ty0_Nt8_k0.180_0.180_0.180_kt0.180_5EAF4371.dat
16	0.1951668000	9.997584624009e-01	4.393790257886e-06	1.924871444702e-04	3.220931567698e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.195_0.195_0.195_kt0.195/Lx16_Ly16_Tx0_Ty0_Nt16_k0.195_0.195_0.195_kt0.195_5EA932EE.dat
16	0.1902646000	9.996918912701e-01	6.028753258525e-06	3.293241500854e-04	4.107571526317e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.190_0.190_0.190_kt0.190/Lx16_Ly16_Tx0_Ty0_Nt16_k0.190_0.190_0.190_kt0.190_5EA9AF77.dat
8	0.1853624000	9.961693678603e-01	3.545400576590e-04	3.374212646484e-03	1.261552747566e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.185_0.185_0.185_kt0.185/Lx8_Ly8_Tx0_Ty0_Nt8_k0.185_0.185_0.185_kt0.185_5EAEC6E8.dat
8	0.1902646000	9.973447195244e-01	1.507142761716e-04	2.152642822266e-03	1.044847662409e-02	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.190_0.190_0.190_kt0.190/Lx8_Ly8_Tx0_Ty0_Nt8_k0.190_0.190_0.190_kt0.190_5EAE4C9F.dat
8	0.1951668000	9.980892785315e-01	1.086839391398e-04	1.815519714356e-03	9.911648647201e-03	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.195_0.195_0.195_kt0.195/Lx8_Ly8_Tx0_Ty0_Nt8_k0.195_0.195_0.195_kt0.195_5EA9D236.dat
8	0.2000690000	9.984687171882e-01	1.023306075384e-04	1.549475097656e-03	9.365754939091e-03	out_binder_refine_left_to_right2/Lx8_Ly8_Tx0_Ty0_Nt8_k0.200_0.200_0.200_kt0.200/Lx8_Ly8_Tx0_Ty0_Nt8_k0.200_0.200_0.200_kt0.200_5EA959AD.dat
24	0.1951668000	9.999299932672e-01	7.573878053502e-07	7.315276136666e-05	1.996915173689e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.195_0.195_0.195_kt0.195/Lx24_Ly24_Tx0_Ty0_Nt24_k0.195_0.195_0.195_kt0.195_5EA915C6.dat
16	0.2000690000	9.998167073678e-01	3.173976794774e-06	1.570734739302e-04	3.003572631816e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.200_0.200_0.200_kt0.200/Lx16_Ly16_Tx0_Ty0_Nt16_k0.200_0.200_0.200_kt0.200_5EA8B885.dat
24	0.2000690000	9.999446401201e-01	5.155464673181e-07	6.158663902767e-05	1.880135177055e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.200_0.200_0.200_kt0.200/Lx24_Ly24_Tx0_Ty0_Nt24_k0.200_0.200_0.200_kt0.200_5EA89B7D.dat
