0 0 1.0000000000000000e+00 0.0000000000000000e+00
0 1 5.2049374999999998e-01 1.8024702656614759e-03
0 2 3.7556875000000001e-01 2.5969496221227989e-03
0 3 3.1746249999999998e-01 3.1084999170620867e-03
0 4 2.9959999999999998e-01 3.3979772843560920e-03
0 5 3.1746249999999998e-01 3.1084999170620867e-03
0 6 3.7556875000000001e-01 2.5969496221227989e-03
0 7 5.2049374999999998e-01 1.8024702656614759e-03
1 0 1.0000000000000000e+00 0.0000000000000000e+00
1 1 5.1917500000000005e-01 1.8040182752677419e-03
1 2 3.7446249999999998e-01 2.5935712317912154e-03
1 3 3.1789374999999997e-01 3.0751938652048838e-03
1 4 3.0217500000000003e-01 3.3358674003173445e-03
1 5 3.1789374999999997e-01 3.0751938652048838e-03
1 6 3.7446249999999998e-01 2.5935712317912154e-03
1 7 5.1917500000000005e-01 1.8040182752677419e-03
2 0 1.0000000000000000e+00 0.0000000000000000e+00
2 1 5.1949999999999996e-01 1.8069155348272384e-03
2 2 3.7626874999999999e-01 2.5983835051515687e-03
2 3 3.1883125000000001e-01 3.0867179114463551e-03
2 4 3.0521250000000000e-01 3.3632088263108196e-03
2 5 3.1883125000000001e-01 3.0867179114463551e-03
2 6 3.7626874999999999e-01 2.5983835051515687e-03
2 7 5.1949999999999996e-01 1.8069155348272384e-03
4 0 9.9998145621093748e-01 5.1400462514738988e-05
4 1 5.2047520621093746e-01 1.8033059874827482e-03
4 2 3.7555020621093749e-01 2.5974879235336110e-03
4 3 3.1744395621093746e-01 3.1089458337767856e-03
4 4 2.9958145621093746e-01 3.3985358664692478e-03
4 5 3.1744395621093746e-01 3.1089458337767856e-03
4 6 3.7555020621093749e-01 2.5974879235336110e-03
4 7 5.2047520621093746e-01 1.8033059874827482e-03
5 0 9.9998145621093748e-01 5.1400462514738988e-05
5 1 5.1915645621093753e-01 1.8046258659217375e-03
5 2 3.7444395621093746e-01 2.5939982691426475e-03
5 3 3.1787520621093746e-01 3.0757678499772154e-03
5 4 3.0215645621093751e-01 3.3364980771286717e-03
5 5 3.1787520621093746e-01 3.0757678499772154e-03
5 6 3.7444395621093746e-01 2.5939982691426475e-03
5 7 5.1915645621093753e-01 1.8046258659217375e-03
6 0 9.9998145621093748e-01 5.1400462514738988e-05
6 1 5.1948145621093744e-01 1.8075297374039302e-03
6 2 3.7625020621093747e-01 2.5989308873154847e-03
6 3 3.1881270621093749e-01 3.0872820627248043e-03
6 4 3.0519395621093748e-01 3.3636695077113353e-03
6 5 3.1881270621093749e-01 3.0872820627248043e-03
6 6 3.7625020621093747e-01 2.5989308873154847e-03
6 7 5.1948145621093744e-01 1.8075297374039302e-03
