L_x 8
L_y 8
T_x 0
T_y 0
N_cell 64
N_t 1
K1 1.000000000000e+00
K2 1.000000000000e+00
K3 1.000000000000e+00
Kt 5.000000000000e-01
beta 2.380114931430e-01
mag 5.129187500000e-01 2.586905510662e-03 10000
mag^2 3.300064453125e-01 2.564335689600e-03 10000
mag^4 1.746624292374e-01 2.085839191828e-03 10000
energy -1.501393750000e+00 5.044210895531e-03 10000
energy^2 2.508623828125e+00 1.633942350572e-02 10000
U4 6.980917966662e-01 6.841127973563e-03
m_susc 6.692080121094e-02 6.700806239397e-04
