L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1140371523	2.768327314058e-01	1.372514453163e-01	4.873870164156e-05	2.228060170884e-05	out_binder_3d_ntraj1000_jkU4/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114_5EAFD8AB.dat
32	0.0650000000	-7.897743513941e-01	3.721379156108e-01	2.674177885056e-05	1.221496621360e-05	out_binder_3d_ntraj1000_jkU4/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065_5EADC24F.dat
24	0.1312440475	2.463225489763e-01	1.312997128434e-01	2.148183898507e-04	1.077504566109e-04	out_binder_3d_ntraj1000_jkU4/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131_5EAF7F6A.dat
