0 0 1.0000000000000000e+00 0.0000000000000000e+00
0 1 5.0789125000000002e-01 8.0601442354882858e-04
0 2 3.5892249999999998e-01 1.1548372309009615e-03
0 3 3.0158625000000000e-01 1.3702659372248696e-03
0 4 2.8560750000000001e-01 1.4931117653662100e-03
0 5 3.0158625000000000e-01 1.3702659372248696e-03
0 6 3.5892249999999998e-01 1.1548372309009615e-03
0 7 5.0789125000000002e-01 8.0601442354882858e-04
1 0 1.0000000000000000e+00 0.0000000000000000e+00
1 1 5.0827624999999999e-01 8.0460806372963328e-04
1 2 3.5954000000000003e-01 1.1552642091746804e-03
1 3 3.0040250000000002e-01 1.3783236684012212e-03
1 4 2.8449000000000002e-01 1.5003601810898606e-03
1 5 3.0040250000000002e-01 1.3783236684012212e-03
1 6 3.5954000000000003e-01 1.1552642091746804e-03
1 7 5.0827624999999999e-01 8.0460806372963328e-04
2 0 1.0000000000000000e+00 0.0000000000000000e+00
2 1 5.0775375000000000e-01 8.0704268766822347e-04
2 2 3.5962000000000000e-01 1.1541204928429269e-03
2 3 3.0183250000000000e-01 1.3713368345796739e-03
2 4 2.8604499999999999e-01 1.4953321652729872e-03
2 5 3.0183250000000000e-01 1.3713368345796739e-03
2 6 3.5962000000000000e-01 1.1541204928429269e-03
2 7 5.0775375000000000e-01 8.0704268766822347e-04
4 0 9.9995364092343753e-01 3.5526339137196453e-05
4 1 5.0784489092343754e-01 8.0643063171263339e-04
4 2 3.5887614092343750e-01 1.1549710493288106e-03
4 3 3.0153989092343753e-01 1.3702771246764816e-03
4 4 2.8556114092343754e-01 1.4931658044710196e-03
4 5 3.0153989092343753e-01 1.3702771246764816e-03
4 6 3.5887614092343750e-01 1.1549710493288106e-03
4 7 5.0784489092343754e-01 8.0643063171263339e-04
5 0 9.9995364092343753e-01 3.5526339137196453e-05
5 1 5.0822989092343751e-01 8.0493502018847015e-04
5 2 3.5949364092343755e-01 1.1553625118474304e-03
5 3 3.0035614092343754e-01 1.3783690872344395e-03
5 4 2.8444364092343755e-01 1.5004272284903065e-03
5 5 3.0035614092343754e-01 1.3783690872344395e-03
5 6 3.5949364092343755e-01 1.1553625118474304e-03
5 7 5.0822989092343751e-01 8.0493502018847015e-04
6 0 9.9995364092343753e-01 3.5526339137196453e-05
6 1 5.0770739092343753e-01 8.0749668042312181e-04
6 2 3.5957364092343752e-01 1.1543261211761295e-03
6 3 3.0178614092343753e-01 1.3713653187050843e-03
6 4 2.8599864092343752e-01 1.4952782770304230e-03
6 5 3.0178614092343753e-01 1.3713653187050843e-03
6 6 3.5957364092343752e-01 1.1543261211761295e-03
6 7 5.0770739092343753e-01 8.0749668042312181e-04
