lx,ly,theta_deg,lr,err_x,err_y,err_y_minus_x,err_total
1.0,0.2,20.0,0.8149373912673517,0.0,0.2541298444075467,0.23572966294369707,0.1632865024504146
1.0,0.2,21.0,0.8164360534672138,0.0,0.2541298444075467,0.23567955077421493,0.16326979839392056
1.0,0.2,22.0,0.8180015025495277,0.0,0.2541298444075467,0.2356269474257519,0.16325226394443287
1.0,0.2,23.0,0.8196328803915958,0.0,0.2541298444075467,0.23557184945307852,0.16323389795354173
1.0,0.2,24.0,0.8213292987243056,0.0,0.2541298444075467,0.23551425392893993,0.16321469944549555
1.0,0.2,25.0,0.8230898402880089,0.0,0.2541298444075467,0.2354541585156003,0.163194667641049
1.0,0.2,26.0,0.8249135600051275,0.0,0.2541298444075467,0.2353915615355795,0.16317380198104206
1.0,0.2,27.0,0.8267994861661762,0.0,0.2541298444075467,0.23532646204124222,0.1631521021495963
1.0,0.2,28.0,0.8287466216259523,0.0,0.2541298444075467,0.23525885988291034,0.16312956809681903
1.0,0.2,29.0,0.8307539450067281,0.0,0.2541298444075467,0.23518875577519016,0.16310620006091228
1.0,0.2,30.0,0.8328204119053666,0.0,0.2541298444075467,0.23511615136122152,0.1630819985895894
1.0,0.2,31.0,0.8349449561013917,0.0,0.2541298444075467,0.23504104927457614,0.16305696456070762
1.0,0.2,32.0,0.837126490763152,0.0,0.2541298444075467,0.23496345319855363,0.16303109920203343
1.0,0.2,33.0,0.8393639096493429,0.0,0.2541298444075467,0.234883367922643,0.16300440411006323
1.0,0.2,34.0,0.8416560883032828,0.0,0.2541298444075467,0.2348007993959424,0.1629768812678297
1.0,0.2,35.0,0.8440018852374699,0.0,0.2541298444075467,0.2347157547773487,0.16294853306163182
1.0,0.2,36.0,0.8464001431060967,0.0,0.2541298444075467,0.23462824248235528,0.16291936229663398
1.0,0.2,37.0,0.8488496898633366,0.0,0.2541298444075467,0.23453827222631432,0.162889372211287
1.0,0.2,38.0,0.8513493399053712,0.0,0.2541298444075467,0.23444585506404708,0.16285856649053126
1.0,0.2,39.0,0.8538978951942742,0.0,0.2541298444075467,0.2343510034257057,0.1628269492777508
1.0,0.2,40.0,0.856494146362022,0.0,0.2541298444075467,0.2342537311488107,0.16279452518545248
1.0,0.2,41.0,0.8591368737930477,0.0,0.2541298444075467,0.23415405350641363,0.16276129930465344
1.0,0.2,42.0,0.8618248486839089,0.0,0.2541298444075467,0.23405198723135065,0.1627272772129658
1.0,0.2,43.0,0.864556834078785,0.0,0.2541298444075467,0.23394755053657573,0.16269246498137416
1.0,0.2,44.0,0.8673315858796677,0.0,0.2541298444075467,0.23384076313157945,0.1626568691797087
1.0,0.2,45.0,0.8701478538302447,0.0,0.2541298444075467,0.23373164623491846,0.16262049688082172
1.0,0.2,46.0,0.8730043824726204,0.0,0.2541298444075467,0.23362022258289702,0.16258335566348125
1.0,0.2,47.0,0.8758999120761461,0.0,0.2541298444075467,0.23350651643445727,0.16254545361400133
1.0,0.2,48.0,0.8788331795377646,0.0,0.2541298444075467,0.2333905535723513,0.16250679932663267
1.0,0.2,49.0,0.881802919253388,0.0,0.2541298444075467,0.23327236130068024,0.1624674019027423
1.0,0.2,50.0,0.8848078639599585,0.0,0.2541298444075467,0.2331519684388976,0.1624272709488148
1.0,0.2,51.0,0.8878467455479381,0.0,0.2541298444075467,0.23302940531238717,0.1623864165733113
1.0,0.2,52.0,0.8909182958440895,0.0,0.2541298444075467,0.232904703739734,0.1623448493824269
1.0,0.2,53.0,0.8940212473645024,0.0,0.2541298444075467,0.23277789701681506,0.16230258047478727
1.0,0.2,54.0,0.8971543340379128,0.0,0.2541298444075467,0.23264901989784773,0.16225962143513148
