r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	0.8491567085	0.8491567085	0.8677047480	1.0000000000	1.0218428934	0.0024647768	0.0024647768	0.0240725321	0.0000000000	0.0216077553	0.0000060751	0.0000060751	0.0005794868	0.0000000000	0.0004668951	0.0005916371	0.0004668951	0.0010585321
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.8486643815	0.8489651816	0.8668259907	0.9996456862	1.0210383294	0.0018848252	0.0022392018	0.0230592814	-0.0003543766	0.0208200795	0.0000035526	0.0000050140	0.0005317305	0.0000001256	0.0004334757	0.0005402970	0.0004336013	0.0009738983
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.8481705057	0.8487758001	0.8659554276	0.9992868619	1.0202404775	0.0013027111	0.0020161036	0.0220544654	-0.0007133925	0.0200383618	0.0000016971	0.0000040647	0.0004863994	0.0000005089	0.0004015359	0.0004921612	0.0004020449	0.0008942060
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.8476751257	0.8485884832	0.8650928159	0.9989236744	1.0194491594	0.0007184834	0.0017953886	0.0210578302	-0.0010769052	0.0192624416	0.0000005162	0.0000032234	0.0004434322	0.0000011597	0.0003710417	0.0004471719	0.0003722014	0.0008193732
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.8471782844	0.8484031542	0.8642379207	0.9985562645	1.0186642004	0.0001321892	0.0015769680	0.0200691296	-0.0014447787	0.0184921616	0.0000000175	0.0000024868	0.0004027700	0.0000020874	0.0003419600	0.0004052743	0.0003440474	0.0007493217
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.8466800235	0.8482197403	0.8633905149	0.9981847666	1.0178854298	-0.0004561255	0.0013607574	0.0190881248	-0.0018168829	0.0177273674	0.0000002081	0.0000018517	0.0003643565	0.0000033011	0.0003142596	0.0003664162	0.0003175606	0.0006839768
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.8461803832	0.8480381723	0.8625503786	0.9978093096	1.0171126805	-0.0010464167	0.0011466768	0.0181145846	-0.0021930935	0.0169679079	0.0000010950	0.0000013149	0.0003281382	0.0000048097	0.0002879099	0.0003305480	0.0002927196	0.0006232676
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.8456794025	0.8478583846	0.8617172989	0.9974300164	1.0163457890	-0.0016386416	0.0009346501	0.0171482849	-0.0025732917	0.0162136348	0.0000026851	0.0000008736	0.0002940637	0.0000066218	0.0002628820	0.0002976224	0.0002695038	0.0005671262
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.8451771190	0.8476803148	0.8608910699	0.9970470049	1.0155845958	-0.0022327589	0.0007246050	0.0161890081	-0.0029573638	0.0154644031	0.0000049852	0.0000005251	0.0002620840	0.0000087460	0.0002391478	0.0002675942	0.0002478938	0.0005154880
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.8446735690	0.8475039036	0.8600714920	0.9966603876	1.0148289446	-0.0028287287	0.0005164727	0.0152365435	-0.0033452014	0.0147200708	0.0000080017	0.0000002667	0.0002321523	0.0000111904	0.0002166805	0.0002404207	0.0002278709	0.0004682916
