LKU4U4_errm_suscm_susc_errdat
24	0.1617142857	6.199615978539e-01	3.459968163885e-02	1.214872824639e-02	5.558739482347e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EABA48B.dat
24	0.1620000000	7.634922919155e-01	2.535539919025e-02	1.039466953395e-02	6.384965881130e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
24	0.1614285714	5.035185105501e-01	4.148270025680e-02	6.928959164273e-03	3.877561865861e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EA89B7D.dat
24	0.1618571429	7.417934693467e-01	2.760248144140e-02	1.176869799244e-02	6.133478356765e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAB2A22.dat
24	0.1610000000	3.888953577984e-01	4.383484858357e-02	6.131649240250e-03	2.995132708847e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EAE08B8.dat
24	0.1602857143	2.226728940992e-01	5.027747328813e-02	3.107869118689e-03	1.564975877897e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160_5EACECA5.dat
24	0.1604285714	2.386467139763e-01	4.017053144667e-02	3.481937823276e-03	1.643330135911e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160_5EAC725C.dat
24	0.1600000000	1.116610748736e-01	9.414740974266e-02	2.332826933449e-03	1.095327366752e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160_5EADE397.dat
24	0.1601428571	1.900033563080e-01	4.824497541761e-02	3.136757249008e-03	1.419206398963e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160/Lx24_Ly24_Tx0_Ty0_Nt96_k0.160_0.160_0.160_kt0.160_5EAD690E.dat
16	0.1618571429	5.608619394416e-01	3.511132392766e-02	1.202745091170e-02	6.156967633440e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx16_Ly16_Tx0_Ty0_Nt64_k0.162_0.162_0.162_kt0.162/Lx16_Ly16_Tx0_Ty0_Nt64_k0.162_0.162_0.162_kt0.162_5EABCB4A.dat
