L	K	U4	U4_err	m_susc	m_susc_err	dat
16	0.1654639301	9.581571380648e-01	8.130126466394e-03	8.327411150932e-03	1.149047440671e-02	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.165_0.165_0.165_kt0.165/Lx16_Ly16_Tx0_Ty0_Nt16_k0.165_0.165_0.165_kt0.165_5EAEA229.dat
16	0.1639556552	9.336438560974e-01	1.014765605600e-02	7.790963649750e-03	1.041509521371e-02	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.164_0.164_0.164_kt0.164/Lx16_Ly16_Tx0_Ty0_Nt16_k0.164_0.164_0.164_kt0.164_5EAF991B.dat
16	0.1632015178	8.990863256311e-01	1.426341808041e-02	1.323652210236e-02	1.182749664552e-02	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.163_0.163_0.163_kt0.163/Lx16_Ly16_Tx0_Ty0_Nt16_k0.163_0.163_0.163_kt0.163_5EAC1364.dat
16	0.1662180675	9.773418144975e-01	2.516245116163e-03	3.298463821411e-03	8.108176107382e-03	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.166_0.166_0.166_kt0.166/Lx16_Ly16_Tx0_Ty0_Nt16_k0.166_0.166_0.166_kt0.166_5EAE29C0.dat
24	0.1609391056	6.760367896438e-01	3.947045520211e-02	1.045481915677e-02	5.820147238104e-03	out_binder_refine_zoom2_momentJK/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EADE397.dat
16	0.1624473804	8.478512241626e-01	1.930078572685e-02	1.468204925060e-02	1.093801000853e-02	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162_5EAC8DCD.dat
16	0.1669722049	9.860694078431e-01	1.797766843914e-03	2.361990809441e-03	7.284263742998e-03	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.167_0.167_0.167_kt0.167/Lx16_Ly16_Tx0_Ty0_Nt16_k0.167_0.167_0.167_kt0.167_5EA9AF77.dat
8	0.1647097926	8.563265800093e-01	1.814234917410e-02	2.572390136719e-02	1.965691935449e-02	out_binder_refine_zoom2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.165_0.165_0.165_kt0.165/Lx8_Ly8_Tx0_Ty0_Nt8_k0.165_0.165_0.165_kt0.165_5EAF3DDA.dat
8	0.1654639301	8.563265800093e-01	1.814234917410e-02	2.572390136719e-02	1.965691935449e-02	out_binder_refine_zoom2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.165_0.165_0.165_kt0.165/Lx8_Ly8_Tx0_Ty0_Nt8_k0.165_0.165_0.165_kt0.165_5EAF3DDA.dat
16	0.1616932430	8.478512241626e-01	1.930078572685e-02	1.468204925060e-02	1.093801000853e-02	out_binder_refine_zoom2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162/Lx16_Ly16_Tx0_Ty0_Nt16_k0.162_0.162_0.162_kt0.162_5EAC8DCD.dat
8	0.1639556552	8.231351766856e-01	2.156666918897e-02	2.975026092529e-02	2.021441517929e-02	out_binder_refine_zoom2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.164_0.164_0.164_kt0.164/Lx8_Ly8_Tx0_Ty0_Nt8_k0.164_0.164_0.164_kt0.164_5EAFB623.dat
8	0.1662180675	8.791486243147e-01	1.669161995262e-02	2.342505493164e-02	2.070210428650e-02	out_binder_refine_zoom2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166_5EAEC6E8.dat
8	0.1632015178	8.013208932093e-01	2.190623980110e-02	2.482311248779e-02	1.853943704385e-02	out_binder_refine_zoom2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.163_0.163_0.163_kt0.163/Lx8_Ly8_Tx0_Ty0_Nt8_k0.163_0.163_0.163_kt0.163_5EAC308C.dat
