0 0 1.0000000000000000e+00 0.0000000000000000e+00
0 1 5.2075000000000005e-01 1.8135100633853659e-03
0 2 3.7535625000000000e-01 2.5966976857335071e-03
0 3 3.1717499999999998e-01 3.0860196957407777e-03
0 4 3.0001875000000000e-01 3.3665530817653462e-03
0 5 3.1717499999999998e-01 3.0860196957407777e-03
0 6 3.7535625000000000e-01 2.5966976857335071e-03
0 7 5.2075000000000005e-01 1.8135100633853659e-03
1 0 1.0000000000000000e+00 0.0000000000000000e+00
1 1 5.2129999999999999e-01 1.8072180969656106e-03
1 2 3.7737500000000002e-01 2.5853520674175112e-03
1 3 3.2027499999999998e-01 3.0635154336970463e-03
1 4 3.0511874999999999e-01 3.3172932531423493e-03
1 5 3.2027499999999998e-01 3.0635154336970463e-03
1 6 3.7737500000000002e-01 2.5853520674175112e-03
1 7 5.2129999999999999e-01 1.8072180969656106e-03
2 0 1.0000000000000000e+00 0.0000000000000000e+00
2 1 5.2145624999999995e-01 1.8126772661159938e-03
2 2 3.7717499999999998e-01 2.5992628883012201e-03
2 3 3.1935625000000001e-01 3.0835796156567369e-03
2 4 3.0389375000000002e-01 3.3445582381823984e-03
2 5 3.1935625000000001e-01 3.0835796156567369e-03
2 6 3.7717499999999998e-01 2.5992628883012201e-03
2 7 5.2145624999999995e-01 1.8126772661159938e-03
4 0 9.9999428491210940e-01 2.8573944772487734e-05
4 1 5.2074428491210945e-01 1.8140994402430408e-03
4 2 3.7535053491210940e-01 2.5972104499459325e-03
4 3 3.1716928491210938e-01 3.0865810238913027e-03
4 4 3.0001303491210940e-01 3.3671700539974342e-03
4 5 3.1716928491210938e-01 3.0865810238913027e-03
4 6 3.7535053491210940e-01 2.5972104499459325e-03
4 7 5.2074428491210945e-01 1.8140994402430408e-03
5 0 9.9999428491210940e-01 2.8573944772487734e-05
5 1 5.2129428491210938e-01 1.8077215287671173e-03
5 2 3.7736928491210942e-01 2.5856648310815990e-03
5 3 3.2026928491210938e-01 3.0639074783362112e-03
5 4 3.0511303491210939e-01 3.3176265570902469e-03
5 5 3.2026928491210938e-01 3.0639074783362112e-03
5 6 3.7736928491210942e-01 2.5856648310815990e-03
5 7 5.2129428491210938e-01 1.8077215287671173e-03
6 0 9.9999428491210940e-01 2.8573944772487734e-05
6 1 5.2145053491210935e-01 1.8130531989717388e-03
6 2 3.7716928491210938e-01 2.5998472940388594e-03
6 3 3.1935053491210941e-01 3.0840755878295666e-03
6 4 3.0388803491210942e-01 3.3450079371680650e-03
6 5 3.1935053491210941e-01 3.0840755878295666e-03
6 6 3.7716928491210938e-01 2.5998472940388594e-03
6 7 5.2145053491210935e-01 1.8130531989717388e-03
