r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
3.2919479738	8.0893011577	0.0906959693	0.6255758556	0.0722384110	0.6026078915	1.1121652402	1.4268195218	0.8056201463	0.8820814884	0.7903213366	0.9133171445	0.8959731578	-0.0534441467	-0.0052271276	-0.0417915546	-0.0482170192	-0.0365644271	0.0028562768	0.0000273229	0.0017465340	0.0023248809	0.0013369573	0.0046301337	0.0036618383	0.0082919720
3.2919479738	8.8246921720	0.0824307114	0.5962477507	0.0689062255	0.5762432132	1.1319313960	1.4334180445	0.7947603899	0.8809633341	0.7814071174	0.9021492259	0.8869916456	-0.0670158227	-0.0064955633	-0.0531348815	-0.0605202595	-0.0466393182	0.0044911205	0.0000421923	0.0028233156	0.0036627018	0.0021752260	0.0073566285	0.0058379278	0.0131945563
3.2919479738	9.5600831863	0.0753853923	0.5700817031	0.0659268661	0.5525081023	1.1497615538	1.4393229975	0.7841591304	0.8799024562	0.7724617349	0.8911887049	0.8778947364	-0.0804445234	-0.0077005137	-0.0646486992	-0.0727440097	-0.0569481855	0.0064713214	0.0000592979	0.0041794543	0.0052916910	0.0032430958	0.0107100736	0.0085347868	0.0192448604
3.2919479738	10.2954742007	0.0693169545	0.5465584377	0.0632434350	0.5310035867	1.1659436773	1.4446453897	0.7737750690	0.8788954020	0.7634961439	0.8803949449	0.8686996679	-0.0937752727	-0.0088456758	-0.0763230985	-0.0849295970	-0.0674774228	0.0087938018	0.0000782460	0.0058252154	0.0072130364	0.0045532026	0.0146972631	0.0117662390	0.0264635021
3.7622262558	4.4123460860	0.1696927186	0.9101673224	0.0926888306	0.8312500633	0.9238712096	1.3864713807	0.8775656699	0.8895350454	0.8405697349	0.9865442339	0.9449540400	0.0320952945	0.0031873355	0.0198487451	0.0289079589	0.0166614096	0.0010301079	0.0000101591	0.0003939727	0.0008356701	0.0002776026	0.0014342397	0.0011132727	0.0025475124
3.7622262558	5.1477371003	0.1465424576	0.8444379127	0.0863395122	0.7800859725	0.9625375624	1.3989691187	0.8641876433	0.8882513509	0.8327537373	0.9729088984	0.9375203724	0.0167334293	0.0017431859	0.0105067923	0.0149902434	0.0087636064	0.0002800077	0.0000030387	0.0001103927	0.0002247074	0.0000768008	0.0003934390	0.0003015082	0.0006949472
3.7622262558	5.8831281147	0.1284509675	0.7895840059	0.0809863333	0.7360953074	0.9959700666	1.4095272796	0.8518704305	0.8869834333	0.8248847604	0.9604130118	0.9299889146	0.0023779428	0.0003147350	0.0010125195	0.0020632078	0.0006977845	0.0000056546	0.0000000991	0.0000010252	0.0000042568	0.0000004869	0.0000067789	0.0000047437	0.0000115226
3.7622262558	6.6185191290	0.1139551113	0.7429278113	0.0763956674	0.6977659163	1.0252307011	1.4185960362	0.8403209730	0.8857554032	0.8169667983	0.9487054439	0.9223390513	-0.0112725660	-0.0010707260	-0.0086327172	-0.0102018401	-0.0075619912	0.0001270707	0.0000011465	0.0000745238	0.0001040775	0.0000571837	0.0002027410	0.0001612613	0.0003640023
3.7622262558	7.3539101433	0.1021029360	0.7026323357	0.0724041307	0.6639980103	1.0511031238	1.4264915195	0.8293447587	0.8845766679	0.8090025246	0.9375611960	0.9145646205	-0.0244205539	-0.0024023806	-0.0184291349	-0.0220181733	-0.0160267543	0.0005963635	0.0000057714	0.0003396330	0.0004848000	0.0002568569	0.0009417679	0.0007416568	0.0016834247
3.7622262558	8.0893011577	0.0922488450	0.6673894398	0.0688935051	0.6339693440	1.0741800640	1.4334432457	0.8188084957	0.8834499208	0.8009956888	0.9268306856	0.9066679049	-0.0372062660	-0.0036769624	-0.0283756078	-0.0335293036	-0.0246986454	0.0013843062	0.0000135201	0.0008051751	0.0011242142	0.0006100231	0.0022030014	0.0017342373	0.0039372387
3.7622262558	8.8246921720	0.0839398775	0.6362387382	0.0657758261	0.6070509057	1.0949192714	1.4396224765	0.8086185719	0.8823747750	0.7929514680	0.9164117049	0.8986560931	-0.0497291707	-0.0048946891	-0.0384691533	-0.0448344816	-0.0335744643	0.0024729904	0.0000239580	0.0014798758	0.0020101307	0.0011272447	0.0039768242	0.0031373754	0.0071141995
3.7622262558	9.5600831863	0.0768490876	0.6084570207	0.0629840897	0.5827520655	1.1136806128	1.4451599753	0.7987079814	0.8813494720	0.7848762100	0.9062330061	0.8905391503	-0.0620610967	-0.0060573460	-0.0487051616	-0.0560037507	-0.0426478156	0.0038515797	0.0000366914	0.0023721928	0.0031364201	0.0018188362	0.0062604639	0.0049552563	0.0112157202
3.7622262558	10.2954742007	0.0707347432	0.5834878570	0.0604662327	0.5606836908	1.1307514084	1.4501575544	0.7890280569	0.8803717005	0.7767770548	0.8962442301	0.8823285147	-0.0742546153	-0.0071673647	-0.0590777942	-0.0670872507	-0.0519104295	0.0055137479	0.0000513711	0.0034901858	0.0045006992	0.0026946927	0.0090553048	0.0071953919	0.0162506967
4.2325045378	4.4123460860	0.1710495963	0.9647822186	0.0881887831	0.8609796994	0.8852867524	1.3953262017	0.8870772867	0.8902591070	0.8459383412	0.9964259615	0.9502158804	0.0428756156	0.0040009820	0.0262153016	0.0388746335	0.0222143196	0.0018383184	0.0000160079	0.0006872420	0.0015112371	0.0004934760	0.0025415683	0.0020047131	0.0045462814
4.2325045378	5.1477371003	0.1479341606	0.8949811566	0.0822747339	0.8099577136	0.9246504969	1.4069844431	0.8739186790	0.8891292955	0.8388207090	0.9828926832	0.9434181431	0.0279308310	0.0027310944	0.0177658149	0.0251997366	0.0150347205	0.0007801313	0.0000074589	0.0003156242	0.0006350267	0.0002260428	0.0011032144	0.0008610695	0.0019642839
4.2325045378	5.8831281147	0.1298493283	0.8368261691	0.0772763972	0.7658781153	0.9588593655	1.4168551727	0.8619191500	0.8879723216	0.8316431504	0.9706599282	0.9365642714	0.0141049772	0.0014290034	0.0091722705	0.0126759738	0.0077432671	0.0001989504	0.0000020421	0.0000841305	0.0001606803	0.0000599582	0.0002851230	0.0002206385	0.0005057615
4.2325045378	6.6185191290	0.1153424199	0.7874236481	0.0729809655	0.7273121384	0.9889305792	1.4253499361	0.8507603516	0.8868283509	0.8244200994	0.9593292216	0.9296275864	0.0010739853	0.0001398773	0.0004490567	0.0009341080	0.0003091794	0.0000011534	0.0000000196	0.0000002017	0.0000008726	0.0000000956	0.0000013747	0.0000009681	0.0000023428
4.2325045378	7.3539101433	0.1034681068	0.7447961683	0.0692391831	0.6932132643	1.0156209560	1.4327584333	0.8402299984	0.8857158225	0.8171575174	0.9486451264	0.9225955962	-0.0113808336	-0.0011154127	-0.0083992966	-0.0102654209	-0.0072838839	0.0001295234	0.0000012441	0.0000705482	0.0001053789	0.0000530550	0.0002013157	0.0001584338	0.0003597495
4.2325045378	8.0893011577	0.0935850616	0.7075400565	0.0659427762	0.6627941235	1.0395070781	1.4392914520	0.8301816401	0.8846427215	0.8098590520	0.9384372017	0.9154645511	-0.0234119753	-0.0023277108	-0.0173709500	-0.0210842644	-0.0150432392	0.0005481206	0.0000054182	0.0003017499	0.0004445462	0.0002262990	0.0008552887	0.0006708453	0.0015261340
4.2325045378	8.8246921720	0.0852431144	0.6746275233	0.0630109926	0.6354489711	1.0610370886	1.4451065939	0.8205115384	0.8836118818	0.8025282155	0.9285881679	0.9082361069	-0.0351285225	-0.0034936514	-0.0264641588	-0.0316348711	-0.0229705074	0.0012340131	0.0000122056	0.0007003517	0.0010007651	0.0005276442	0.0019465704	0.0015284093	0.0034749797
4.2325045378	9.5600831863	0.0781171626	0.6452863300	0.0603821934	0.6107029180	1.0805653225	1.4503244131	0.8111446648	0.8826235813	0.7951690383	0.9190154014	0.9009152432	-0.0466100791	-0.0046127554	-0.0356764537	-0.0419973237	-0.0310636983	0.0021724995	0.0000212775	0.0012728094	0.0017637752	0.0009649534	0.0034665863	0.0027287286	0.0061953149
4.2325045378	10.2954742007	0.0719666996	0.6189234522	0.0580083922	0.5881775825	1.0983761388	1.4550389323	0.8020258528	0.8816768491	0.7877861497	0.9096596486	0.8935089432	-0.0579156529	-0.0056859652	-0.0450045032	-0.0522296877	-0.0393185380	0.0033542228	0.0000323302	0.0020254053	0.0027279403	0.0015459474	0.0054119584	0.0042738877	0.0096858461
4.7027828198	4.4123460860	0.1722033132	1.0176103515	0.0842129031	0.8878950607	0.8505363772	1.4031612157	0.8957665122	0.8908005484	0.8504543976	1.0055747201	0.9547079861	0.0526232943	0.0046089812	0.0315396195	0.0480143131	0.0269306382	0.0027692111	0.0000212427	0.0009947476	0.0023053743	0.0007252593	0.0037852014	0.0030306335	0.0068158349
4.7027828198	5.1477371003	0.1491242423	0.9438253294	0.0786748623	0.8371430467	0.8903576930	1.4140919139	0.8827202863	0.8898390611	0.8439484684	0.9919999300	0.9484282106	0.0379518783	0.0035290463	0.0238602638	0.0344228320	0.0203312175	0.0014403451	0.0000124542	0.0005693122	0.0011849314	0.0004133584	0.0020221114	0.0015982898	0.0036204012
4.7027828198	5.8831281147	0.1310510730	0.8824451348	0.0739842436	0.7931039910	0.9251238063	1.4233648563	0.8709277355	0.8888019083	0.8373622362	0.9798895877	0.9421247056	0.0245025105	0.0023628156	0.0160255835	0.0221396949	0.0136627679	0.0006003730	0.0000055829	0.0002568193	0.0004901661	0.0001866712	0.0008627752	0.0006768373	0.0015396126
4.7027828198	6.6185191290	0.1165399336	0.8303636275	0.0699456776	0.7544267975	0.9558068347	1.4313590213	0.8600463277	0.8877473768	0.8307251885	0.9687962479	0.9357675508	0.0119297616	0.0011756471	0.0080678678	0.0107541145	0.0068922207	0.0001423192	0.0000013821	0.0000650905	0.0001156510	0.0000475027	0.0002087918	0.0001631537	0.0003719455
4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0664218040	0.7201156233	0.9831353019	1.4383417283	0.8498471380	0.8867043124	0.8240499711	0.9584335229	0.9293402091	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
