metric	best_r1	best_r2	tau_eff_real	tau_eff_imag	best_value
v4_chi2	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
u4_chi2	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
w4_chi2	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
v4_over_u4_chi2	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
w4_over_u4_chi2	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
corr_score	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
ratio_score	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
total_score	4.7027828198	7.3539101433	0.1046511628	0.7854649011	0.0000000000
