r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	0.8951863860	0.8951863860	0.8495175896	1.0000000000	0.9489840361	0.0015357679	0.0015357679	0.0014116474	0.0000000000	-0.0001241205	0.0000023586	0.0000023586	0.0000019927	0.0000000000	0.0000000154	0.0000067099	0.0000000154	0.0000067253
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.8945663017	0.8950722854	0.8491872358	0.9994347008	0.9487359286	0.0008428406	0.0014082997	0.0010226996	-0.0005654591	-0.0003856001	0.0000007104	0.0000019833	0.0000010459	0.0000003197	0.0000001487	0.0000037396	0.0000004684	0.0000042080
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.8939471452	0.8949594182	0.8488568949	0.9988689174	0.9484864650	0.0001504706	0.0012821933	0.0006336156	-0.0011317227	-0.0006485777	0.0000000226	0.0000016440	0.0000004015	0.0000012808	0.0000004207	0.0000020681	0.0000017014	0.0000037696
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.8933289420	0.8948477385	0.8485265329	0.9983027319	0.9482356566	-0.0005413121	0.0011573981	0.0002443553	-0.0016987101	-0.0009130428	0.0000002930	0.0000013396	0.0000000597	0.0000028856	0.0000008336	0.0000016923	0.0000037193	0.0000054116
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.8927117157	0.8947372029	0.8481961181	0.9977362211	0.9479835144	-0.0012324791	0.0010338660	-0.0001451189	-0.0022663451	-0.0011789849	0.0000015190	0.0000010689	0.0000000211	0.0000051363	0.0000013900	0.0000026089	0.0000065263	0.0000091353
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.8920954884	0.8946277703	0.8478656205	0.9971694575	0.9477300490	-0.0019230046	0.0009115515	-0.0005348425	-0.0028345560	-0.0014463939	0.0000036979	0.0000008309	0.0000002861	0.0000080347	0.0000020921	0.0000048149	0.0000101268	0.0000149417
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.8914802800	0.8945194015	0.8475350122	0.9966025092	0.9474752708	-0.0026128641	0.0007904113	-0.0009248486	-0.0034032754	-0.0017152599	0.0000068271	0.0000006248	0.0000008553	0.0000115823	0.0000029421	0.0000083072	0.0000145244	0.0000228316
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.8908661091	0.8944120595	0.8472042667	0.9960354399	0.9472191902	-0.0033020353	0.0006704045	-0.0013151688	-0.0039724398	-0.0019855733	0.0000109034	0.0000004494	0.0000017297	0.0000157803	0.0000039425	0.0000130825	0.0000197228	0.0000328053
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.8902529926	0.8943057091	0.8468733593	0.9954683096	0.9469618170	-0.0039904975	0.0005514921	-0.0017058326	-0.0045419896	-0.0022573247	0.0000159241	0.0000003041	0.0000029099	0.0000206297	0.0000050955	0.0000191381	0.0000257252	0.0000448633
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.8896409457	0.8942003169	0.8465422667	0.9949011746	0.9467031611	-0.0046782317	0.0004336371	-0.0020968678	-0.0051118687	-0.0025305049	0.0000218859	0.0000001880	0.0000043969	0.0000261312	0.0000064035	0.0000264707	0.0000325347	0.0000590054
0.6000000000	0.7333333333	0.5861581846	0.7590898788	0.3554005743	1.0716600081	1.1566856030	0.9132470425	0.8890299825	0.8940958512	0.8462109671	0.9943340877	0.9464432320	-0.0053652202	0.0003168043	-0.0024883007	-0.0056820245	-0.0028051050	0.0000287856	0.0000001004	0.0000061916	0.0000322854	0.0000078686	0.0000350776	0.0000401540	0.0000752316
0.6000000000	0.7466666667	0.5812828977	0.7579300589	0.3533199756	1.0660754375	1.1589724316	0.9165447845	0.8884201155	0.8939922815	0.8458794398	0.9937670982	0.9461820390	-0.0060514470	0.0002009603	-0.0028801560	-0.0062524074	-0.0030811163	0.0000366200	0.0000000404	0.0000082953	0.0000390926	0.0000094933	0.0000449557	0.0000485859	0.0000935416
