tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.0246511628	0.5854649011	0.7873404278	0.8801529800	0.7766659462	0.8945495222	0.8824215378	-0.0763957769	-0.0074158365	-0.0592208424	-0.0689799403	-0.0518050059	0.0058363147	0.0000549946	0.0035071082	0.0047582322	0.0026837586	0.0093984175	0.0074419908	0.0168404083
0.0246511628	0.5921315678	0.7899563146	0.8804106251	0.7789389002	0.8972589518	0.8847450020	-0.0730788497	-0.0071231518	-0.0562985635	-0.0659556979	-0.0491754116	0.0053405183	0.0000507393	0.0031695282	0.0043501541	0.0024182211	0.0085607858	0.0067683752	0.0153291610
0.0246511628	0.5987982344	0.7925156125	0.8806643729	0.7811511698	0.8999065216	0.8870021246	-0.0698442897	-0.0068349780	-0.0534624822	-0.0630093118	-0.0466275042	0.0048782248	0.0000467169	0.0028582370	0.0039701734	0.0021741242	0.0077831787	0.0061442975	0.0139274763
0.0246511628	0.6054649011	0.7950203918	0.8809142668	0.7833048756	0.9024946260	0.8891953566	-0.0666887312	-0.0065512621	-0.0507091838	-0.0601374691	-0.0441579217	0.0044473869	0.0000429190	0.0025714213	0.0036165152	0.0019499221	0.0070617272	0.0055664372	0.0126281645
0.0246511628	0.6121315678	0.7974726370	0.8811603498	0.7854020504	0.9050255577	0.8913270446	-0.0636089725	-0.0062719516	-0.0480354198	-0.0573370209	-0.0417634682	0.0040461014	0.0000393374	0.0023074016	0.0032875340	0.0017441873	0.0063928403	0.0050317212	0.0114245616
0.0246511628	0.6187982344	0.7998742507	0.8814026648	0.7874446432	0.9075015117	0.8933994356	-0.0606019670	-0.0059969941	-0.0454380987	-0.0546049729	-0.0394411046	0.0036725984	0.0000359639	0.0020646208	0.0029817031	0.0015556007	0.0057731831	0.0045373038	0.0103104869
0.0246511628	0.6254649011	0.8022270569	0.8816412542	0.7894345227	0.9099245901	0.8954146813	-0.0576648145	-0.0057263378	-0.0429142775	-0.0519384767	-0.0371879397	0.0033252308	0.0000327909	0.0018416352	0.0026976054	0.0013829429	0.0051996570	0.0040805482	0.0092802052
0.0246511628	0.6321315678	0.8045328049	0.8818761602	0.7913734806	0.9122968067	0.8973748428	-0.0547947533	-0.0054599316	-0.0404611537	-0.0493348217	-0.0350012221	0.0030024650	0.0000298109	0.0016371050	0.0024339246	0.0012250855	0.0046693808	0.0036590102	0.0083283910
0.0246511628	0.6387982344	0.8067931720	0.8821074243	0.7932632354	0.9146200902	0.8992818941	-0.0519891526	-0.0051977250	-0.0380760573	-0.0467914276	-0.0328783324	0.0027028720	0.0000270163	0.0014497861	0.0021894377	0.0010809847	0.0041796745	0.0032704224	0.0074500969
0.0246511628	0.6454649011	0.8090097674	0.8823350874	0.7951054350	0.9168962891	0.9011377269	-0.0492455052	-0.0049396683	-0.0357564441	-0.0443058369	-0.0308167758	0.0024251198	0.0000244003	0.0012785233	0.0019630072	0.0009496737	0.0037280434	0.0029126809	0.0066407243
0.0246511628	0.6521315678	0.8111841344	0.8825591897	0.7969016604	0.9191271746	0.9029441534	-0.0465614211	-0.0046857128	-0.0334998887	-0.0418757083	-0.0288141759	0.0021679659	0.0000219559	0.0011222425	0.0017535749	0.0008302567	0.0033121644	0.0025838317	0.0058959961
0.0246511628	0.6587982344	0.8133177540	0.8827797706	0.7986534281	0.9213144445	0.9047029108	-0.0439346211	-0.0044358108	-0.0313040781	-0.0394988104	-0.0268682673	0.0019302509	0.0000196764	0.0009799453	0.0015601560	0.0007219038	0.0029298727	0.0022820598	0.0052119325
0.0246511628	0.6654649011	0.8154120469	0.8829968688	0.8003621931	0.9234597265	0.9064156639	-0.0413629311	-0.0041899154	-0.0291668061	-0.0371730157	-0.0249768907	0.0017108921	0.0000175554	0.0008507026	0.0013818331	0.0006238451	0.0025791500	0.0020056782	0.0045848282
0.0246511628	0.6721315678	0.8174683771	0.8832105220	0.8020293516	0.9255645814	0.9080840090	-0.0388442761	-0.0039479809	-0.0270859674	-0.0348962951	-0.0231379865	0.0015088778	0.0000155866	0.0007336496	0.0012177514	0.0005353664	0.0022581140	0.0017531178	0.0040112318
0.0246511628	0.6787982344	0.8194880534	0.8834207670	0.8036562436	0.9276305063	0.9097094767	-0.0363766754	-0.0037099629	-0.0250595525	-0.0326667126	-0.0213495896	0.0013232625	0.0000137638	0.0006279812	0.0010671141	0.0004558050	0.0019650075	0.0015229191	0.0034879266
0.0246511628	0.6854649011	0.8214723325	0.8836276398	0.8052441553	0.9296589372	0.9112935347	-0.0339582379	-0.0034758178	-0.0230856427	-0.0304824201	-0.0196098249	0.0011531619	0.0000120813	0.0005329469	0.0009291779	0.0003845452	0.0016981901	0.0013137232	0.0030119133
