tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.4200000000	0.7860254038	0.8756533747	0.8913317757	0.8381468682	0.9824101402	0.9403309644	-0.0205258595	-0.0027794597	-0.0120636538	-0.0177463998	-0.0092841941	0.0004213109	0.0000077254	0.0001455317	0.0003149347	0.0000861963	0.0005745680	0.0004011310	0.0009756990
0.4200000000	0.7926920705	0.8766084798	0.8914228725	0.8386775601	0.9833811839	0.9408302007	-0.0194357197	-0.0026772619	-0.0114306813	-0.0167584579	-0.0087534194	0.0003777472	0.0000071677	0.0001306605	0.0002808459	0.0000766224	0.0005155754	0.0003574683	0.0008730437
0.4200000000	0.7993587371	0.8775623955	0.8915130972	0.8392063841	0.9843516582	0.9413281608	-0.0183481224	-0.0025760528	-0.0108003350	-0.0157720696	-0.0082242821	0.0003366536	0.0000066360	0.0001166472	0.0002487582	0.0000676388	0.0004599369	0.0003163970	0.0007763339
0.4200000000	0.8060254038	0.8785150255	0.8916023906	0.8397331522	0.9853215231	0.9418246980	-0.0172631701	-0.0024758984	-0.0101728339	-0.0147872716	-0.0076969354	0.0002980170	0.0000061301	0.0001034865	0.0002186634	0.0000592428	0.0004076337	0.0002779062	0.0006855399
0.4200000000	0.8126920705	0.8794662801	0.8916906955	0.8402576858	0.9862907447	0.9423196743	-0.0161809575	-0.0023768626	-0.0095483857	-0.0138040949	-0.0071715231	0.0002618234	0.0000056495	0.0000911717	0.0001905530	0.0000514307	0.0003586445	0.0002419838	0.0006006283
0.4200000000	0.8193587371	0.8804160761	0.8917779566	0.8407798145	0.9872592943	0.9428129595	-0.0151015717	-0.0022790072	-0.0089271876	-0.0128225645	-0.0066481804	0.0002280575	0.0000051939	0.0000796947	0.0001644182	0.0000441983	0.0003129460	0.0002086165	0.0005215625
0.4200000000	0.8260254038	0.8813643361	0.8918641200	0.8412993765	0.9882271484	0.9433044313	-0.0140250924	-0.0021823920	-0.0083094258	-0.0118427004	-0.0061270338	0.0001967032	0.0000047628	0.0000690466	0.0001402496	0.0000375405	0.0002705126	0.0001777901	0.0004483027
0.4200000000	0.8326920705	0.8823109887	0.8919491339	0.8418162181	0.9891942884	0.9437939745	-0.0129515924	-0.0020870750	-0.0076952772	-0.0108645173	-0.0056082022	0.0001677437	0.0000043559	0.0000592173	0.0001180377	0.0000314519	0.0002313169	0.0001494897	0.0003808066
0.4200000000	0.8393587371	0.8832559681	0.8920329477	0.8423301929	0.9901607002	0.9442814810	-0.0118811380	-0.0019931124	-0.0070849088	-0.0098880256	-0.0050917965	0.0001411614	0.0000039725	0.0000501959	0.0000977730	0.0000259264	0.0001953299	0.0001236994	0.0003190293
0.4200000000	0.8460254038	0.8841992135	0.8921155128	0.8428411622	0.9911263741	0.9447668492	-0.0108137893	-0.0019005583	-0.0064784788	-0.0089132310	-0.0045779205	0.0001169380	0.0000036121	0.0000419707	0.0000794457	0.0000209574	0.0001625208	0.0001004030	0.0002629239
0.4200000000	0.8526920705	0.8851406693	0.8921967820	0.8433489940	0.9920913045	0.9452499841	-0.0097496005	-0.0018094653	-0.0058761365	-0.0079401351	-0.0040666711	0.0000950547	0.0000032742	0.0000345290	0.0000630457	0.0000165378	0.0001328579	0.0000795836	0.0002124414
0.4200000000	0.8593587371	0.8860802845	0.8922767096	0.8438535634	0.9930554894	0.9457307967	-0.0086886201	-0.0017198842	-0.0052780229	-0.0069687360	-0.0035581387	0.0000754921	0.0000029580	0.0000278575	0.0000485633	0.0000126604	0.0001063076	0.0000612236	0.0001675313
0.4200000000	0.8660254038	0.8870180127	0.8923552514	0.8443547517	0.9940189306	0.9462092035	-0.0076308916	-0.0016318639	-0.0046842712	-0.0059990277	-0.0030524072	0.0000582305	0.0000026630	0.0000219424	0.0000359883	0.0000093172	0.0000828359	0.0000453055	0.0001281414
0.4200000000	0.8726920705	0.8879538119	0.8924323648	0.8448524464	0.9949816332	0.9466851268	-0.0065764532	-0.0015454521	-0.0040950068	-0.0050310011	-0.0025495547	0.0000432497	0.0000023884	0.0000167691	0.0000253110	0.0000065002	0.0000624072	0.0000318112	0.0000942184
0.4200000000	0.8793587371	0.8888876439	0.8925080084	0.8453465412	0.9959436056	0.9471584941	-0.0055253384	-0.0014606946	-0.0035103481	-0.0040646439	-0.0020496535	0.0000305294	0.0000021336	0.0000123225	0.0000165213	0.0000042011	0.0000449855	0.0000207224	0.0000657079
0.4200000000	0.8860254038	0.8898194747	0.8925821423	0.8458369352	0.9969048590	0.9476292378	-0.0044775764	-0.0013776356	-0.0029304063	-0.0030999408	-0.0015527708	0.0000200487	0.0000018979	0.0000085873	0.0000096096	0.0000024111	0.0000305339	0.0000120207	0.0000425546
0.4200000000	0.8926920705	0.8907492738	0.8926547279	0.8463235330	0.9978654075	0.9480972951	-0.0034331919	-0.0012963180	-0.0023552861	-0.0021368740	-0.0010589682	0.0000117868	0.0000016804	0.0000055474	0.0000045662	0.0000011214	0.0000190146	0.0000056876	0.0000247023
0.4200000000	0.8993587371	0.8916770142	0.8927257279	0.8468062445	0.9988252678	0.9485626077	-0.0023922058	-0.0012167831	-0.0017850859	-0.0011754228	-0.0005683028	0.0000057226	0.0000014806	0.0000031865	0.0000013816	0.0000003230	0.0000103897	0.0000017046	0.0000120943
0.4200000000	0.9060254038	0.8926026723	0.8927951063	0.8472849845	0.9997844589	0.9490251218	-0.0013546352	-0.0011390709	-0.0012198979	-0.0002155643	-0.0000808270	0.0000018350	0.0000012975	0.0000014882	0.0000000465	0.0000000065	0.0000046207	0.0000000530	0.0000046737
0.4200000000	0.9126920705	0.8935262274	0.8928628282	0.8477596727	1.0007430024	0.9494847875	-0.0003204934	-0.0010632199	-0.0006598085	0.0007427265	0.0004034114	0.0000001027	0.0000011304	0.0000004353	0.0000005516	0.0000001627	0.0000016685	0.0000007144	0.0000023829
0.4200000000	0.9193587371	0.8944476622	0.8929288602	0.8482302334	1.0017009217	0.9499415589	0.0007102094	-0.0009892673	-0.0001048987	0.0016994767	0.0008843686	0.0000005044	0.0000009786	0.0000000110	0.0000028882	0.0000007821	0.0000014941	0.0000036703	0.0000051644
0.4200000000	0.9260254038	0.8953669618	0.8929931696	0.8486965951	1.0026582423	0.9503953937	0.0017374663	-0.0009172491	0.0004447557	0.0026547154	0.0013620048	0.0000030188	0.0000008413	0.0000001978	0.0000070475	0.0000018551	0.0000040579	0.0000089026	0.0000129605
0.4200000000	0.9326920705	0.8962841143	0.8930557253	0.8491586905	1.0036149917	0.9508462534	0.0027612734	-0.0008471999	0.0009890842	0.0036084733	0.0018362841	0.0000076246	0.0000007177	0.0000009783	0.0000130211	0.0000033719	0.0000093207	0.0000163930	0.0000257137
0.4200000000	0.9393587371	0.8971991101	0.8931164970	0.8496164567	1.0045711988	0.9512941027	0.0037816296	-0.0007791530	0.0015280209	0.0045607826	0.0023071739	0.0000143007	0.0000006071	0.0000023348	0.0000208007	0.0000053231	0.0000172426	0.0000261238	0.0000433664
0.4200000000	0.9460254038	0.8981119421	0.8931754556	0.8500698341	1.0055268945	0.9517389095	0.0047985365	-0.0007131407	0.0020615046	0.0055116773	0.0027746453	0.0000230260	0.0000005086	0.0000042498	0.0000303786	0.0000076987	0.0000277843	0.0000380772	0.0000658616
0.4200000000	0.9526920705	0.8990226055	0.8932325730	0.8505187672	1.0064821108	0.9521806447	0.0058119981	-0.0006491942	0.0025894784	0.0064611923	0.0032386725	0.0000337793	0.0000004215	0.0000067054	0.0000417470	0.0000104890	0.0000409062	0.0000522360	0.0000931422
0.4200000000	0.9593587371	0.8999310975	0.8932878220	0.8509632039	1.0074368813	0.9526192823	0.0068220209	-0.0005873432	0.0031118896	0.0074093640	0.0036992328	0.0000465400	0.0000003450	0.0000096839	0.0000548987	0.0000136843	0.0000565688	0.0000685830	0.0001251518
0.4200000000	0.9660254038	0.9008374174	0.8933411766	0.8514030953	1.0083912407	0.9530547988	0.0078286133	-0.0005276167	0.0036286896	0.0083562299	0.0041563063	0.0000612872	0.0000002784	0.0000131674	0.0000698266	0.0000172749	0.0000747330	0.0000871015	0.0001618344
0.4200000000	0.9726920705	0.9017415664	0.8933926115	0.8518383960	1.0093452249	0.9534871736	0.0088317861	-0.0004700424	0.0041398335	0.0093018285	0.0046098759	0.0000780004	0.0000002209	0.0000171382	0.0000865240	0.0000212510	0.0000953596	0.0001077750	0.0002031346
0.4200000000	0.9793587371	0.9026435475	0.8934421026	0.8522690636	1.0102988710	0.9539163882	0.0098315518	-0.0004146472	0.0046452800	0.0102461990	0.0050599271	0.0000966594	0.0000001719	0.0000215786	0.0001049846	0.0000256029	0.0001184100	0.0001305875	0.0002489974
0.4200000000	0.9860254038	0.9035433655	0.8934896264	0.8526950585	1.0112522169	0.9543424269	0.0108279249	-0.0003614567	0.0051449912	0.0111893816	0.0055064480	0.0001172440	0.0000001307	0.0000264709	0.0001252023	0.0000303210	0.0001438455	0.0001555232	0.0002993688
0.4200000000	0.9926920705	0.9044410265	0.8935351605	0.8531163440	1.0122053014	0.9547652759	0.0118209214	-0.0003104959	0.0056389328	0.0121314173	0.0059494287	0.0001397342	0.0000000964	0.0000317976	0.0001471713	0.0000353957	0.0001716282	0.0001825670	0.0003541951
0.4200000000	0.9993587371	0.9053365384	0.8935786833	0.8535328863	1.0131581643	0.9551849236	0.0128105591	-0.0002617885	0.0061270733	0.0130723476	0.0063888618	0.0001641104	0.0000000685	0.0000375410	0.0001708863	0.0000408176	0.0002017200	0.0002117038	0.0004134238
0.4200000000	1.0060254038	0.9062299104	0.8936201739	0.8539446540	1.0141108458	0.9556013605	0.0137968569	-0.0002153576	0.0066093844	0.0140122146	0.0068247420	0.0001903533	0.0000000464	0.0000436840	0.0001963422	0.0000465771	0.0002340836	0.0002429193	0.0004770029
0.4200000000	1.0126920705	0.9071211530	0.8936596124	0.8543516180	1.0150633871	0.9560145789	0.0147798356	-0.0001712253	0.0070858405	0.0149510609	0.0072570657	0.0002184435	0.0000000293	0.0000502091	0.0002235342	0.0000526650	0.0002686820	0.0002761992	0.0005448812
0.4200000000	1.0193587371	0.9080102780	0.8936969794	0.8547537520	1.0160158297	0.9564245732	0.0157595167	-0.0001294127	0.0075564188	0.0158889294	0.0076858315	0.0002483624	0.0000000167	0.0000570995	0.0002524581	0.0000590720	0.0003054786	0.0003115301	0.0006170087
0.4200000000	1.0260254038	0.9088972982	0.8937322564	0.8551510316	1.0169682158	0.9568313390	0.0167359233	-0.0000899403	0.0080210992	0.0168258636	0.0081110395	0.0002800911	0.0000000081	0.0000643380	0.0002831097	0.0000657890	0.0003444373	0.0003488986	0.0006933359
