r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
5.1417092163	7.9422229548	0.0975517630	0.7890226513	0.0616616830	0.7184410373	0.9753672419	1.4477843744	0.8503606083	0.8867365750	0.8245998312	0.9589777081	0.9299264905	0.0006040090	0.0000363841	0.0006670429	0.0005676249	0.0006306588	0.0000003648	0.0000000013	0.0000004449	0.0000003222	0.0000003977	0.0000008111	0.0000007199	0.0000015310
5.1417092163	8.0402750900	0.0963122987	0.7838128439	0.0612847613	0.7144803633	0.9785797343	1.4485325561	0.8491299469	0.8866090902	0.8237670167	0.9577275445	0.9291208784	-0.0008442622	-0.0001073947	-0.0003434295	-0.0007368676	-0.0002360348	0.0000007128	0.0000000115	0.0000001179	0.0000005430	0.0000000557	0.0000008423	0.0000005987	0.0000014409
5.1417092163	8.1383272253	0.0951003636	0.7786894450	0.0609135815	0.7105731579	0.9817500884	1.4492694073	0.8479071970	0.8864819992	0.8229337312	0.9564855212	0.9283140909	-0.0022853033	-0.0002507500	-0.0013554963	-0.0020345533	-0.0011047463	0.0000052226	0.0000000629	0.0000018374	0.0000041394	0.0000012205	0.0000071229	0.0000053599	0.0000124827
5.1417092163	8.2363793605	0.0939150770	0.7736501220	0.0605480011	0.7067182501	0.9848791957	1.4499952078	0.8466921176	0.8863553190	0.8220999840	0.9552513528	0.9275061213	-0.0037193646	-0.0003936623	-0.0023691499	-0.0033257022	-0.0019754876	0.0000138337	0.0000001550	0.0000056129	0.0000110603	0.0000039026	0.0000196015	0.0000149628	0.0000345644
5.1417092163	8.3344314958	0.0927555947	0.7686926297	0.0601878823	0.7029145048	0.9879679213	1.4507102274	0.8454844773	0.8862290654	0.8212657841	0.9540247666	0.9266969638	-0.0051466867	-0.0005361138	-0.0033843834	-0.0046105728	-0.0028482695	0.0000264884	0.0000002874	0.0000114541	0.0000212574	0.0000081126	0.0000382299	0.0000293700	0.0000675999
5.1417092163	8.4324836310	0.0916211077	0.7638148055	0.0598330923	0.6991608210	0.9910171053	1.4514147272	0.8442840539	0.8861032524	0.8204311400	0.9528055017	0.9258866140	-0.0065675009	-0.0006780884	-0.0044011901	-0.0058894125	-0.0037231017	0.0000431321	0.0000004598	0.0000193705	0.0000346852	0.0000138615	0.0000629623	0.0000485467	0.0001115090
5.1417092163	8.5305357663	0.0905108400	0.7590145663	0.0594835025	0.6954561308	0.9940275636	1.4521089591	0.8430906343	0.8859778929	0.8195960596	0.9515933084	0.9250750681	-0.0079820294	-0.0008195711	-0.0054195640	-0.0071624583	-0.0045999928	0.0000637128	0.0000006717	0.0000293717	0.0000513008	0.0000211599	0.0000937562	0.0000724607	0.0001662169
5.1417092163	8.6285879015	0.0894240471	0.7542899041	0.0591389890	0.6917993980	0.9970000888	1.4527931668	0.8419040135	0.8858529985	0.8187605508	0.9503879479	0.9242623236	-0.0093904861	-0.0009605489	-0.0064394993	-0.0084299373	-0.0054789504	0.0000881812	0.0000009227	0.0000414672	0.0000710638	0.0000300189	0.0001305710	0.0001010827	0.0002316538
5.1417092163	8.7266400368	0.0883600145	0.7496388830	0.0587994315	0.6881896169	0.9999354508	1.4534675859	0.8407239946	0.8857285799	0.8179246209	0.9491891914	0.9234483786	-0.0107930767	-0.0011010094	-0.0074609907	-0.0096920673	-0.0063599813	0.0001164905	0.0000012122	0.0000556664	0.0000939362	0.0000404494	0.0001733691	0.0001343855	0.0003077546
5.1417092163	8.8246921720	0.0873180560	0.7450596357	0.0584647140	0.6846258111	1.0028343982	1.4541324443	0.8395503883	0.8856046463	0.8170882773	0.9479968198	0.9226332322	-0.0121899991	-0.0012409419	-0.0084840331	-0.0109490571	-0.0072430912	0.0001485961	0.0000015399	0.0000719788	0.0001198819	0.0000524624	0.0002221148	0.0001723442	0.0003944591
5.1417092163	8.9227443072	0.0862975126	0.7405503603	0.0581347243	0.6811070324	1.0056976585	1.4547879627	0.8383830128	0.8854812065	0.8162515268	0.9468106231	0.9218168843	-0.0135814437	-0.0013803365	-0.0095086215	-0.0122011072	-0.0081282850	0.0001844556	0.0000019053	0.0000904139	0.0001488670	0.0000660690	0.0002767748	0.0002149360	0.0004917109
5.1417092163	9.0207964425	0.0852977507	0.7361093177	0.0578093537	0.6776323601	1.0085259391	1.4554343544	0.8372216929	0.8853582679	0.8154143764	0.9456303999	0.9209993355	-0.0149675941	-0.0015191843	-0.0105347513	-0.0134484098	-0.0090155670	0.0002240289	0.0000023079	0.0001109810	0.0001808597	0.0000812804	0.0003373178	0.0002621402	0.0005994580
5.1417092163	9.1188485777	0.0843181616	0.7317348286	0.0574884968	0.6742008993	1.0113199281	1.4560718262	0.8360662603	0.8852358373	0.8145768327	0.9444559575	0.9201805873	-0.0163486269	-0.0016574775	-0.0115624179	-0.0146911494	-0.0099049405	0.0002672776	0.0000027472	0.0001336895	0.0002158299	0.0000981078	0.0004037143	0.0003139377	0.0007176521
5.1417092163	9.2169007130	0.0833581595	0.7274252709	0.0571720520	0.6708117806	1.0140802948	1.4567005782	0.8349165529	0.8851139209	0.8137389023	0.9432871105	0.9193606417	-0.0177247124	-0.0017952089	-0.0125916169	-0.0159295035	-0.0107964080	0.0003141654	0.0000032228	0.0001585488	0.0002537491	0.0001165624	0.0004759370	0.0003703115	0.0008462485
5.1417092163	9.3149528482	0.0824171812	0.7231790773	0.0568599204	0.6674641587	1.0168076903	1.4573208045	0.8337724147	0.8849925239	0.8129005917	0.9421236815	0.9185395014	-0.0190960145	-0.0019323724	-0.0136223440	-0.0171636421	-0.0116899717	0.0003646578	0.0000037341	0.0001855683	0.0002945906	0.0001366554	0.0005539601	0.0004312460	0.0009852061
5.1417092163	9.4130049835	0.0814946843	0.7189947328	0.0565520065	0.6641572120	1.0195027485	1.4579326930	0.8326336955	0.8848716511	0.8120619072	0.9409654999	0.9177171697	-0.0204626914	-0.0020689623	-0.0146545950	-0.0183937291	-0.0125856326	0.0004187217	0.0000042806	0.0002147572	0.0003383293	0.0001583981	0.0006377595	0.0004967274	0.0011344869
