L	K	U4	U4_err	m_susc	m_susc_err	dat
16	0.2000688015	9.998158815516e-01	3.175741883507e-06	1.900690793990e-04	3.302792599604e-03	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.200_0.200_0.200_kt0.200/Lx16_Ly16_Tx0_Ty0_Nt16_k0.200_0.200_0.200_kt0.200_5EA9AF77.dat
16	0.2650000000	9.999755630456e-01	3.883206815302e-07	3.049764633178e-05	1.503205554825e-03	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.265_0.265_0.265_kt0.265/Lx16_Ly16_Tx0_Ty0_Nt16_k0.265_0.265_0.265_kt0.265_5EA8B885.dat
16	0.2302568835	9.999398175483e-01	9.103435800886e-07	6.203880310052e-05	2.059696195565e-03	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.230_0.230_0.230_kt0.230/Lx16_Ly16_Tx0_Ty0_Nt16_k0.230_0.230_0.230_kt0.230_5EA932EE.dat
16	0.0860953826	5.164070531794e-03	2.310188655366e-04	2.052964210510e-04	9.933982663986e-05	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.086_0.086_0.086_kt0.086/Lx16_Ly16_Tx0_Ty0_Nt16_k0.086_0.086_0.086_kt0.086_5EAC8DCD.dat
24	0.0748077527	1.023957025379e-03	2.334062714827e-05	5.629341952268e-05	2.496449418289e-05	out_binder_3d_ntraj1000_jk_cluster/Lx24_Ly24_Tx0_Ty0_Nt24_k0.075_0.075_0.075_kt0.075/Lx24_Ly24_Tx0_Ty0_Nt24_k0.075_0.075_0.075_kt0.075_5EAD690E.dat
16	0.0990861860	8.536337190432e-03	3.554559723959e-04	3.237265348434e-04	1.522141354000e-04	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.099_0.099_0.099_kt0.099/Lx16_Ly16_Tx0_Ty0_Nt16_k0.099_0.099_0.099_kt0.099_5EAC1364.dat
16	0.0748077527	3.631244524471e-03	1.638674753539e-04	1.588129758835e-04	7.749292764433e-05	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.075_0.075_0.075_kt0.075/Lx16_Ly16_Tx0_Ty0_Nt16_k0.075_0.075_0.075_kt0.075_5EAD0656.dat
8	0.2650000000	9.997999231632e-01	8.558505168299e-06	2.083297729492e-04	3.919446635207e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.265_0.265_0.265_kt0.265/Lx8_Ly8_Tx0_Ty0_Nt8_k0.265_0.265_0.265_kt0.265_5EA959AD.dat
16	0.0650000000	2.401737741874e-03	5.461426171361e-05	2.083008527756e-04	9.571741730180e-05	out_binder_3d_ntraj1000_jk_cluster/Lx16_Ly16_Tx0_Ty0_Nt16_k0.065_0.065_0.065_kt0.065/Lx16_Ly16_Tx0_Ty0_Nt16_k0.065_0.065_0.065_kt0.065_5EAD80BF.dat
8	0.1738385612	9.815603920973e-01	6.110210907071e-03	1.082142791748e-02	1.825697031960e-02	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.174_0.174_0.174_kt0.174/Lx8_Ly8_Tx0_Ty0_Nt8_k0.174_0.174_0.174_kt0.174_5EAEC6E8.dat
8	0.1510472654	4.888034008416e-01	2.885909205467e-02	2.055852661133e-02	9.516382603443e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.151_0.151_0.151_kt0.151/Lx8_Ly8_Tx0_Ty0_Nt8_k0.151_0.151_0.151_kt0.151_5EAF4371.dat
8	0.1312440475	2.000396699675e-01	1.575441582960e-02	6.165129089355e-03	2.650115056758e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.131_0.131_0.131_kt0.131/Lx8_Ly8_Tx0_Ty0_Nt8_k0.131_0.131_0.131_kt0.131_5EAF3DDA.dat
8	0.2302568835	9.995092526919e-01	2.057865985050e-05	4.594421386718e-04	5.618539220692e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.230_0.230_0.230_kt0.230/Lx8_Ly8_Tx0_Ty0_Nt8_k0.230_0.230_0.230_kt0.230_5EA9D236.dat
8	0.1140371523	8.475891869783e-02	6.996993469721e-03	3.820915222168e-03	1.829778677920e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.114_0.114_0.114_kt0.114/Lx8_Ly8_Tx0_Ty0_Nt8_k0.114_0.114_0.114_kt0.114_5EAFB623.dat
8	0.2000688015	9.984058848836e-01	9.776140707315e-05	1.435685729980e-03	9.035233887324e-03	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.200_0.200_0.200_kt0.200/Lx8_Ly8_Tx0_Ty0_Nt8_k0.200_0.200_0.200_kt0.200_5EAE4C9F.dat
8	0.0860953826	3.393778193329e-02	1.950191080735e-03	1.710778808594e-03	8.178173827697e-04	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.086_0.086_0.086_kt0.086/Lx8_Ly8_Tx0_Ty0_Nt8_k0.086_0.086_0.086_kt0.086_5EACAD15.dat
8	0.0748077527	2.677306215641e-02	2.263025056781e-03	1.790605163574e-03	8.454235566680e-04	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.075_0.075_0.075_kt0.075/Lx8_Ly8_Tx0_Ty0_Nt8_k0.075_0.075_0.075_kt0.075_5EAD277E.dat
8	0.0650000000	1.616118598771e-02	8.408147749405e-04	1.537780761719e-03	7.432967861976e-04	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.065_0.065_0.065_kt0.065/Lx8_Ly8_Tx0_Ty0_Nt8_k0.065_0.065_0.065_kt0.065_5EADA1C7.dat
8	0.0990861860	5.054833306438e-02	3.802468610370e-03	1.799353027344e-03	8.142851246787e-04	out_binder_3d_ntraj1000_jk_cluster/Lx8_Ly8_Tx0_Ty0_Nt8_k0.099_0.099_0.099_kt0.099/Lx8_Ly8_Tx0_Ty0_Nt8_k0.099_0.099_0.099_kt0.099_5EAC308C.dat
