left_length_over_a,diag_length_over_a,err_left,err_diag,objective
0.856000,0.836000,0.0190556700,0.0190867753,0.0190712226
0.856000,0.846000,0.0190556700,0.0190673181,0.0190614941
0.856000,0.856000,0.0190556700,0.0190556700,0.0190556700
0.856000,0.866000,0.0190556700,0.0190517483,0.0190537091
0.856000,0.876000,0.0190556700,0.0190554708,0.0190555704
0.856000,0.886000,0.0190556700,0.0190667564,0.0190612132
0.856000,0.896000,0.0190556700,0.0190855244,0.0190705972
0.856000,0.906000,0.0190556700,0.0191116951,0.0190836826
0.856000,0.916000,0.0190556700,0.0191451893,0.0191004296
0.866000,0.816000,0.0190517483,0.0191494515,0.0191005999
0.866000,0.826000,0.0190517483,0.0191141250,0.0190829366
0.866000,0.836000,0.0190517483,0.0190867753,0.0190692618
0.866000,0.846000,0.0190517483,0.0190673181,0.0190595332
0.866000,0.856000,0.0190517483,0.0190556700,0.0190537091
0.866000,0.866000,0.0190517483,0.0190517483,0.0190517483
0.866000,0.876000,0.0190517483,0.0190554708,0.0190536095
0.866000,0.886000,0.0190517483,0.0190667564,0.0190592523
0.866000,0.896000,0.0190517483,0.0190855244,0.0190686364
0.866000,0.906000,0.0190517483,0.0191116951,0.0190817217
0.866000,0.916000,0.0190517483,0.0191451893,0.0190984688
0.876000,0.816000,0.0190554708,0.0191494515,0.0191024611
0.876000,0.826000,0.0190554708,0.0191141250,0.0190847979
0.876000,0.836000,0.0190554708,0.0190867753,0.0190711230
0.876000,0.846000,0.0190554708,0.0190673181,0.0190613945
0.876000,0.856000,0.0190554708,0.0190556700,0.0190555704
0.876000,0.866000,0.0190554708,0.0190517483,0.0190536095
0.876000,0.876000,0.0190554708,0.0190554708,0.0190554708
0.876000,0.886000,0.0190554708,0.0190667564,0.0190611136
0.876000,0.896000,0.0190554708,0.0190855244,0.0190704976
0.876000,0.906000,0.0190554708,0.0191116951,0.0190835830
0.876000,0.916000,0.0190554708,0.0191451893,0.0191003300
0.886000,0.816000,0.0190667564,0.0191494515,0.0191081039
0.886000,0.826000,0.0190667564,0.0191141250,0.0190904407
0.886000,0.836000,0.0190667564,0.0190867753,0.0190767658
0.886000,0.846000,0.0190667564,0.0190673181,0.0190670373
0.886000,0.856000,0.0190667564,0.0190556700,0.0190612132
0.886000,0.866000,0.0190667564,0.0190517483,0.0190592523
0.886000,0.876000,0.0190667564,0.0190554708,0.0190611136
0.886000,0.886000,0.0190667564,0.0190667564,0.0190667564
0.886000,0.896000,0.0190667564,0.0190855244,0.0190761404
0.886000,0.906000,0.0190667564,0.0191116951,0.0190892258
0.886000,0.916000,0.0190667564,0.0191451893,0.0191059728
0.896000,0.816000,0.0190855244,0.0191494515,0.0191174880
0.896000,0.826000,0.0190855244,0.0191141250,0.0190998247
0.896000,0.836000,0.0190855244,0.0190867753,0.0190861499
0.896000,0.846000,0.0190855244,0.0190673181,0.0190764213
0.896000,0.856000,0.0190855244,0.0190556700,0.0190705972
0.896000,0.866000,0.0190855244,0.0190517483,0.0190686364
0.896000,0.876000,0.0190855244,0.0190554708,0.0190704976
0.896000,0.886000,0.0190855244,0.0190667564,0.0190761404
0.896000,0.896000,0.0190855244,0.0190855244,0.0190855244
0.896000,0.906000,0.0190855244,0.0191116951,0.0190986098
0.896000,0.916000,0.0190855244,0.0191451893,0.0191153569
0.906000,0.816000,0.0191116951,0.0191494515,0.0191305733
0.906000,0.826000,0.0191116951,0.0191141250,0.0191129100
0.906000,0.836000,0.0191116951,0.0190867753,0.0190992352
0.906000,0.846000,0.0191116951,0.0190673181,0.0190895066
0.906000,0.856000,0.0191116951,0.0190556700,0.0190836826
0.906000,0.866000,0.0191116951,0.0190517483,0.0190817217
0.906000,0.876000,0.0191116951,0.0190554708,0.0190835830
0.906000,0.886000,0.0191116951,0.0190667564,0.0190892258
0.906000,0.896000,0.0191116951,0.0190855244,0.0190986098
0.906000,0.906000,0.0191116951,0.0191116951,0.0191116951
0.906000,0.916000,0.0191116951,0.0191451893,0.0191284422
0.916000,0.816000,0.0191451893,0.0191494515,0.0191473204
0.916000,0.826000,0.0191451893,0.0191141250,0.0191296571
0.916000,0.836000,0.0191451893,0.0190867753,0.0191159823
0.916000,0.846000,0.0191451893,0.0190673181,0.0191062537
0.916000,0.856000,0.0191451893,0.0190556700,0.0191004296
0.916000,0.866000,0.0191451893,0.0190517483,0.0190984688
0.916000,0.876000,0.0191451893,0.0190554708,0.0191003300
0.916000,0.886000,0.0191451893,0.0190667564,0.0191059728
0.916000,0.896000,0.0191451893,0.0190855244,0.0191153569
0.916000,0.906000,0.0191451893,0.0191116951,0.0191284422
0.916000,0.916000,0.0191451893,0.0191451893,0.0191451893
