left_length_over_a,diag_length_over_a,err_left,err_diag,objective
0.714000,0.714000,0.0221190438,0.0221190438,0.0221190438
0.714000,0.724000,0.0221190438,0.0220234960,0.0220712699
0.714000,0.734000,0.0221190438,0.0219510980,0.0220350709
0.714000,0.744000,0.0221190438,0.0219006093,0.0220098265
0.714000,0.754000,0.0221190438,0.0218708525,0.0219949481
0.714000,0.764000,0.0221190438,0.0218607097,0.0219898767
0.714000,0.774000,0.0221190438,0.0218691198,0.0219940818
0.714000,0.784000,0.0221190438,0.0218950751,0.0220070594
0.714000,0.794000,0.0221190438,0.0219376191,0.0220283314
0.714000,0.804000,0.0221190438,0.0219958434,0.0220574436
0.714000,0.814000,0.0221190438,0.0220688853,0.0220939645
0.724000,0.714000,0.0220234960,0.0221190438,0.0220712699
0.724000,0.724000,0.0220234960,0.0220234960,0.0220234960
0.724000,0.734000,0.0220234960,0.0219510980,0.0219872970
0.724000,0.744000,0.0220234960,0.0219006093,0.0219620526
0.724000,0.754000,0.0220234960,0.0218708525,0.0219471742
0.724000,0.764000,0.0220234960,0.0218607097,0.0219421028
0.724000,0.774000,0.0220234960,0.0218691198,0.0219463079
0.724000,0.784000,0.0220234960,0.0218950751,0.0219592855
0.724000,0.794000,0.0220234960,0.0219376191,0.0219805576
0.724000,0.804000,0.0220234960,0.0219958434,0.0220096697
0.724000,0.814000,0.0220234960,0.0220688853,0.0220461906
0.734000,0.714000,0.0219510980,0.0221190438,0.0220350709
0.734000,0.724000,0.0219510980,0.0220234960,0.0219872970
0.734000,0.734000,0.0219510980,0.0219510980,0.0219510980
0.734000,0.744000,0.0219510980,0.0219006093,0.0219258537
0.734000,0.754000,0.0219510980,0.0218708525,0.0219109752
0.734000,0.764000,0.0219510980,0.0218607097,0.0219059038
0.734000,0.774000,0.0219510980,0.0218691198,0.0219101089
0.734000,0.784000,0.0219510980,0.0218950751,0.0219230865
0.734000,0.794000,0.0219510980,0.0219376191,0.0219443586
0.734000,0.804000,0.0219510980,0.0219958434,0.0219734707
0.734000,0.814000,0.0219510980,0.0220688853,0.0220099917
0.744000,0.714000,0.0219006093,0.0221190438,0.0220098265
0.744000,0.724000,0.0219006093,0.0220234960,0.0219620526
0.744000,0.734000,0.0219006093,0.0219510980,0.0219258537
