L	K	U4	U4_err	m_susc	m_susc_err	dat
16	0.1510470000	5.846767349502e-02	5.376009380165e-02	2.786225414276e-03	1.369962591141e-03	out_binder_refine_left_to_right2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.151_0.151_0.151_kt0.151/Lx16_Ly16_Tx0_Ty0_Nt16_k0.151_0.151_0.151_kt0.151_5EAD80BF.dat
16	0.1706558000	9.931237291092e-01	6.290279722569e-04	1.185685729980e-03	5.939067216532e-03	out_binder_refine_left_to_right2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.171_0.171_0.171_kt0.171/Lx16_Ly16_Tx0_Ty0_Nt16_k0.171_0.171_0.171_kt0.171_5EAF991B.dat
24	0.1902646000	9.997296611769e-01	2.385331352606e-05	8.597832406398e-05	2.105767222369e-03	out_binder_refine_left_to_right2_momentJK/Lx24_Ly24_Tx0_Ty0_Nt24_k0.190_0.190_0.190_kt0.190/Lx24_Ly24_Tx0_Ty0_Nt24_k0.190_0.190_0.190_kt0.190_5EA98E2F.dat
16	0.1755580000	9.964052406037e-01	3.587527613327e-04	8.160280942917e-04	5.493682076295e-03	out_binder_refine_left_to_right2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.176_0.176_0.176_kt0.176/Lx16_Ly16_Tx0_Ty0_Nt16_k0.176_0.176_0.176_kt0.176_5EAF1CB2.dat
16	0.1804602000	9.980056120309e-01	2.086894411911e-04	5.201643943786e-04	4.735023083887e-03	out_binder_refine_left_to_right2_momentJK/Lx16_Ly16_Tx0_Ty0_Nt16_k0.180_0.180_0.180_kt0.180/Lx16_Ly16_Tx0_Ty0_Nt16_k0.180_0.180_0.180_kt0.180_5EAEA229.dat
32	0.2000690000	9.999342420304e-01	6.516102473879e-06	2.218547277155e-05	1.129320839436e-03	out_binder_refine_left_to_right2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200_5EA8FA55.dat
8	0.1608514000	6.748716783296e-01	3.639433225500e-02	3.493242797852e-02	1.808414590236e-02	out_binder_refine_left_to_right2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.161_0.161_0.161_kt0.161/Lx8_Ly8_Tx0_Ty0_Nt8_k0.161_0.161_0.161_kt0.161_5EACAD15.dat
8	0.1657536000	8.839891244647e-01	1.613018324516e-02	2.480447998047e-02	2.051758010317e-02	out_binder_refine_left_to_right2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166/Lx8_Ly8_Tx0_Ty0_Nt8_k0.166_0.166_0.166_kt0.166_5EAC308C.dat
8	0.1706558000	9.454544824873e-01	8.027120354981e-03	1.247970428467e-02	1.795754081929e-02	out_binder_refine_left_to_right2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.171_0.171_0.171_kt0.171/Lx8_Ly8_Tx0_Ty0_Nt8_k0.171_0.171_0.171_kt0.171_5EAFB623.dat
8	0.1559492000	5.410450114145e-01	4.691912258824e-02	2.919150390625e-02	1.377901042126e-02	out_binder_refine_left_to_right2_momentJK/Lx8_Ly8_Tx0_Ty0_Nt8_k0.156_0.156_0.156_kt0.156/Lx8_Ly8_Tx0_Ty0_Nt8_k0.156_0.156_0.156_kt0.156_5EAD277E.dat
