0 0 1.0000000000000000e+00 0.0000000000000000e+00
0 1 5.7127656250000003e-01 4.3974553804719909e-04
0 2 4.2795749999999999e-01 6.6280248504927916e-04
0 3 3.5470906250000001e-01 8.2149363209715279e-04
0 4 3.1102531249999998e-01 9.4280020608387483e-04
0 5 2.8315625000000000e-01 1.0409132389847628e-03
0 6 2.6564437499999999e-01 1.1186971846436763e-03
0 7 2.5610812500000002e-01 1.1768393630790005e-03
0 8 2.5289312500000000e-01 1.2103241506636506e-03
0 9 2.5610812500000002e-01 1.1768393630790005e-03
0 10 2.6564437499999999e-01 1.1186971846436763e-03
0 11 2.8315625000000000e-01 1.0409132389847628e-03
0 12 3.1102531249999998e-01 9.4280020608387483e-04
0 13 3.5470906250000001e-01 8.2149363209715279e-04
0 14 4.2795749999999999e-01 6.6280248504927916e-04
0 15 5.7127656250000003e-01 4.3974553804719909e-04
1 0 1.0000000000000000e+00 0.0000000000000000e+00
1 1 5.7155062499999998e-01 4.3862578938907363e-04
1 2 4.2798906250000002e-01 6.6279454062037309e-04
1 3 3.5493999999999998e-01 8.2023611208145426e-04
1 4 3.1111343749999998e-01 9.4140910324360164e-04
1 5 2.8293968749999998e-01 1.0380442043654969e-03
1 6 2.6559406250000001e-01 1.1169313431848317e-03
1 7 2.5622093750000002e-01 1.1762488886078370e-03
1 8 2.5305812500000002e-01 1.2091644149699774e-03
1 9 2.5622093750000002e-01 1.1762488886078370e-03
1 10 2.6559406250000001e-01 1.1169313431848317e-03
1 11 2.8293968749999998e-01 1.0380442043654969e-03
1 12 3.1111343749999998e-01 9.4140910324360164e-04
1 13 3.5493999999999998e-01 8.2023611208145426e-04
1 14 4.2798906250000002e-01 6.6279454062037309e-04
1 15 5.7155062499999998e-01 4.3862578938907363e-04
2 0 1.0000000000000000e+00 0.0000000000000000e+00
2 1 5.7131624999999997e-01 4.3925536924009281e-04
2 2 4.2789718750000000e-01 6.6269908352927962e-04
2 3 3.5466156250000003e-01 8.2230258971069880e-04
2 4 3.1089875000000000e-01 9.4463539244316367e-04
2 5 2.8289406249999999e-01 1.0405336595414260e-03
2 6 2.6547999999999999e-01 1.1182469056518780e-03
2 7 2.5592843749999999e-01 1.1777518069058192e-03
2 8 2.5294875000000000e-01 1.2102286731104786e-03
2 9 2.5592843749999999e-01 1.1777518069058192e-03
2 10 2.6547999999999999e-01 1.1182469056518780e-03
2 11 2.8289406249999999e-01 1.0405336595414260e-03
2 12 3.1089875000000000e-01 9.4463539244316367e-04
2 13 3.5466156250000003e-01 8.2230258971069880e-04
2 14 4.2789718750000000e-01 6.6269908352927962e-04
2 15 5.7131624999999997e-01 4.3925536924009281e-04
4 0 9.9999862157724606e-01 5.7070387139312508e-06
4 1 5.7127518407724609e-01 4.3975411016925262e-04
4 2 4.2795612157724611e-01 6.6280646285669584e-04
4 3 3.5470768407724612e-01 8.2150056407201118e-04
4 4 3.1102393407724610e-01 9.4280289432080769e-04
4 5 2.8315487157724611e-01 1.0409188039209036e-03
4 6 2.6564299657724610e-01 1.1187057694483091e-03
4 7 2.5610674657724614e-01 1.1768492275984381e-03
4 8 2.5289174657724611e-01 1.2103431493180655e-03
4 9 2.5610674657724614e-01 1.1768492275984381e-03
4 10 2.6564299657724610e-01 1.1187057694483091e-03
4 11 2.8315487157724611e-01 1.0409188039209036e-03
4 12 3.1102393407724610e-01 9.4280289432080769e-04
4 13 3.5470768407724612e-01 8.2150056407201118e-04
4 14 4.2795612157724611e-01 6.6280646285669584e-04
4 15 5.7127518407724609e-01 4.3975411016925262e-04
5 0 9.9999862157724606e-01 5.7070387139312508e-06
5 1 5.7154924657724604e-01 4.3862975559358591e-04
5 2 4.2798768407724613e-01 6.6279873082410970e-04
5 3 3.5493862157724609e-01 8.2024572518436497e-04
5 4 3.1111205907724609e-01 9.4141567688519993e-04
5 5 2.8293830907724610e-01 1.0380508242562431e-03
5 6 2.6559268407724612e-01 1.1169394740110203e-03
5 7 2.5621955907724614e-01 1.1762457426250236e-03
5 8 2.5305674657724614e-01 1.2091574788554284e-03
5 9 2.5621955907724614e-01 1.1762457426250236e-03
5 10 2.6559268407724612e-01 1.1169394740110203e-03
5 11 2.8293830907724610e-01 1.0380508242562431e-03
5 12 3.1111205907724609e-01 9.4141567688519993e-04
5 13 3.5493862157724609e-01 8.2024572518436497e-04
5 14 4.2798768407724613e-01 6.6279873082410970e-04
5 15 5.7154924657724604e-01 4.3862975559358591e-04
6 0 9.9999862157724606e-01 5.7070387139312508e-06
6 1 5.7131487157724603e-01 4.3927734441179044e-04
6 2 4.2789580907724611e-01 6.6270257375011777e-04
6 3 3.5466018407724614e-01 8.2230345355375307e-04
6 4 3.1089737157724612e-01 9.4464706064927408e-04
6 5 2.8289268407724610e-01 1.0405493447419960e-03
6 6 2.6547862157724611e-01 1.1182602744632235e-03
6 7 2.5592705907724611e-01 1.1777647495910318e-03
6 8 2.5294737157724612e-01 1.2102440337381447e-03
6 9 2.5592705907724611e-01 1.1777647495910318e-03
6 10 2.6547862157724611e-01 1.1182602744632235e-03
6 11 2.8289268407724610e-01 1.0405493447419960e-03
6 12 3.1089737157724612e-01 9.4464706064927408e-04
6 13 3.5466018407724614e-01 8.2230345355375307e-04
6 14 4.2789580907724611e-01 6.6270257375011777e-04
6 15 5.7131487157724603e-01 4.3927734441179044e-04
