r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
0.7200000000	0.8666666667	0.5398227967	0.7904528508	0.3193124964	1.0435909896	1.1263818142	0.9716198498	0.8524651165	0.8566405415	0.8444733278	0.9951258144	0.9857965937	-0.0052093327	-0.0003232295	0.0019595128	-0.0048861032	0.0022827423	0.0000271371	0.0000001045	0.0000038397	0.0000238740	0.0000052109	0.0000310813	0.0000290849	0.0000601662	53.8121921505	4.0226470649	16.9001739623	58.0427509615	51.7624637528	74.7350131776	109.8052147143	184.5402278919
0.7200000000	0.8800000000	0.5356047506	0.7888683835	0.3176695858	1.0387379755	1.1285188837	0.9743357945	0.8519254683	0.8564868527	0.8439510641	0.9946743089	0.9853637117	-0.0058425775	-0.0005026544	0.0013408725	-0.0053399231	0.0018435269	0.0000341357	0.0000002527	0.0000017979	0.0000285148	0.0000033986	0.0000361863	0.0000319134	0.0000680997	67.6901460809	9.7281169602	7.9135244077	69.3254544895	33.7598191998	85.3317874488	103.0852736893	188.4170611381
0.7200000000	0.8933333333	0.5314415920	0.7872777324	0.3160480958	1.0339411936	1.1306302123	0.9770212477	0.8513864691	0.8563346904	0.8434309313	0.9942216269	0.9849314068	-0.0064754613	-0.0006803288	0.0007243756	-0.0057951325	0.0014047044	0.0000419316	0.0000004628	0.0000005247	0.0000335836	0.0000019732	0.0000429192	0.0000355568	0.0000784759	83.1491681109	17.8208136385	2.3095247027	81.6487340785	19.6006757070	103.2795064522	101.2494097855	204.5289162377
0.7200000000	0.9066666667	0.5273323499	0.7856814222	0.3144475722	1.0291995916	1.1327163019	0.9796767601	0.8508481056	0.8561840061	0.8429128453	0.9937678111	0.9844996394	-0.0071079986	-0.0008563086	0.0001099267	-0.0062516901	0.0009662353	0.0000505236	0.0000007333	0.0000000121	0.0000390836	0.0000009336	0.0000512690	0.0000400172	0.0000912862	100.1869511174	28.2325690796	0.0531864999	95.0205629542	9.2739965273	128.4727066969	104.2945594815	232.7672661784
0.7200000000	0.9200000000	0.5232760744	0.7840799553	0.3128675738	1.0245121441	1.1347776407	0.9823028687	0.8503103649	0.8560347532	0.8423967253	0.9933129021	0.9840683712	-0.0077402039	-0.0010306471	-0.0005025661	-0.0067095568	0.0005280810	0.0000599108	0.0000010622	0.0000002526	0.0000450182	0.0000002789	0.0000612256	0.0000452970	0.0001065226	118.8013265685	40.8987296104	1.1116840580	109.4486431914	2.7701434628	160.8117402369	112.2187866542	273.0305268911
0.7200000000	0.9333333333	0.5192718353	0.7824738126	0.3113076724	1.0198778523	1.1368147041	0.9849000972	0.8497732345	0.8558868872	0.8418824935	0.9928569384	0.9836375648	-0.0083720910	-0.0012033956	-0.0011131914	-0.0071686954	0.0000902042	0.0000700919	0.0000014482	0.0000012392	0.0000513902	0.0000000081	0.0000727793	0.0000513983	0.0001241776	138.9902610420	55.7579365309	5.4542455495	124.9404228091	0.0808266795	200.2024431224	125.0212494886	325.2236926111
0.7200000000	0.9466666667	0.5153187227	0.7808634548	0.3097674522	1.0152957424	1.1388279548	0.9874689564	0.8492367018	0.8557403655	0.8413700751	0.9923999569	0.9832071841	-0.0090036737	-0.0013746031	-0.0017220346	-0.0076290706	-0.0003474315	0.0000810661	0.0000018895	0.0000029654	0.0000582027	0.0000001207	0.0000859211	0.0000583234	0.0001442445	160.7518529288	72.7519216952	13.0520504843	141.5031119779	1.1990564632	246.5558251082	142.7021684412	389.2579935494
0.7200000000	0.9600000000	0.5114158457	0.7792493231	0.3082465091	1.0107648654	1.1408178432	0.9900099450	0.8487007549	0.8555951473	0.8408593978	0.9919419922	0.9827771937	-0.0096349655	-0.0015443165	-0.0023291781	-0.0080906491	-0.0007848616	0.0000928326	0.0000023849	0.0000054251	0.0000654586	0.0000006160	0.0001006425	0.0000660746	0.0001667172	184.0843293054	91.8253169432	23.8781328631	159.1436983827	6.1190968365	299.7877791118	165.2627952192	465.0505743310
0.7200000000	0.9733333333	0.5075623323	0.7776318396	0.3067444508	1.0062842960	1.1427848082	0.9925235494	0.8481653817	0.8554511933	0.8403503922	0.9914830774	0.9823475597	-0.0102659796	-0.0017125807	-0.0029347011	-0.0085533989	-0.0012221204	0.0001053903	0.0000029329	0.0000086125	0.0000731606	0.0000014936	0.0001169357	0.0000746542	0.0001915900	208.9860429587	112.9254763734	37.9072897045	177.8689617770	14.8364209527	359.8188090366	192.7053827297	552.5241917663
0.7200000000	0.9866666667	0.5037573289	0.7760114088	0.3052608957	1.0018531321	1.1447292771	0.9950102444	0.8476305706	0.8553084661	0.8398429913	0.9910232439	0.9819182488	-0.0108967289	-0.0018794390	-0.0035386804	-0.0090172900	-0.0016592414	0.0001187387	0.0000035323	0.0000125223	0.0000813115	0.0000027531	0.0001347933	0.0000840646	0.0002188579	235.4554695496	136.0023105191	55.1159946078	197.6854877669	27.3476681948	426.5737746766	225.0331559618	651.6069306383
