L	K	U4	U4_err	m_susc	m_susc_err	dat
16	0.1612000000	7.120186256110e-01	1.497495969395e-02	1.619582075500e-02	4.201099907215e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161_5EA9AF77.dat
24	0.1584000000	1.528003675521e-01	3.394750270245e-02	4.335051254377e-03	9.280609387931e-04	out_binder_refine_158_162_ntraj5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.158_0.158_0.158_kt0.158/Lx24_Ly24_Tx0_Ty0_Nt24_k0.158_0.158_0.158_kt0.158_5EAD690E.dat
16	0.1608000000	7.120186256110e-01	1.497495969395e-02	1.619582075500e-02	4.201099907215e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161_5EA9AF77.dat
16	0.1604000000	6.381774973801e-01	1.765056613556e-02	1.435353582001e-02	3.559521940397e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160_5EAEA229.dat
32	0.1588000000	1.874485529653e-01	2.458154888056e-02	2.627417799518e-03	5.468200958128e-04	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAC5534.dat
32	0.1584000000	1.532115579646e-01	2.074747901032e-02	2.122874556482e-03	4.382140093082e-04	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158_5EAD49E6.dat
16	0.1600000000	6.381774973801e-01	1.765056613556e-02	1.435353582001e-02	3.559521940397e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160_5EAEA229.dat
16	0.1596000000	6.381774973801e-01	1.765056613556e-02	1.435353582001e-02	3.559521940397e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160/Lx16_Ly16_Tx0_Ty0_Nt16_k0.160_0.160_0.160_kt0.160_5EAEA229.dat
32	0.1580000000	1.532115579646e-01	2.074747901032e-02	2.122874556482e-03	4.382140093082e-04	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158_5EAD49E6.dat
16	0.1592000000	5.098722368105e-01	2.229884071605e-02	1.155594700909e-02	2.583900426894e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.159_0.159_0.159_kt0.159/Lx16_Ly16_Tx0_Ty0_Nt16_k0.159_0.159_0.159_kt0.159_5EAC1364.dat
8	0.1620000000	7.612760989090e-01	1.255827124951e-02	3.295153045654e-02	8.775865882888e-03	out_binder_refine_158_162_ntraj5000/Lx8_Ly8_Tx0_Ty0_Nt8_k0.162_0.162_0.162_kt0.162/Lx8_Ly8_Tx0_Ty0_Nt8_k0.162_0.162_0.162_kt0.162_5EA959AD.dat
16	0.1588000000	5.098722368105e-01	2.229884071605e-02	1.155594700909e-02	2.583900426894e-03	out_binder_refine_158_162_ntraj5000/Lx16_Ly16_Tx0_Ty0_Nt16_k0.159_0.159_0.159_kt0.159/Lx16_Ly16_Tx0_Ty0_Nt16_k0.159_0.159_0.159_kt0.159_5EAC1364.dat
8	0.1616000000	7.612760989090e-01	1.255827124951e-02	3.295153045654e-02	8.775865882888e-03	out_binder_refine_158_162_ntraj5000/Lx8_Ly8_Tx0_Ty0_Nt8_k0.162_0.162_0.162_kt0.162/Lx8_Ly8_Tx0_Ty0_Nt8_k0.162_0.162_0.162_kt0.162_5EA959AD.dat
